county1,At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
HERTFORD COUNTY,3232,6369,6459,6452,6475,4371,4367,4345,2308,2088,2085,2024,924,2089,4373,12230,11398,Hertford,0,0,0,0,13,42,12,22610,4122,10751,11232,11438,4319,11488,12034,12305,42,12,95,42,28,41,12,12,19299,4836,23677,20898,3105,680,3588,3494,3583,8622,8605,8498,3611,8341,2894,3311,3311,3236,669,7984,8075,8086,3441,7845
ROCKINGHAM COUNTY,14066,26280,26620,26566,26643,11220,11188,11059,6398,15296,15274,15117,7605,15299,11223,49202,46736,Rockingham,104,104,104,63,121,578,360,86406,16674,44132,45908,46797,17112,46379,48270,49342,578,360,625,578,359,400,360,276,72695,18996,91010,79246,14285,2949,15491,15112,15483,33226,33141,32580,13804,31516,13546,14677,14677,14333,2913,31215,31699,31720,13485,30226
CARTERET COUNTY,13930,25143,25608,25536,25615,7953,7918,7836,4692,16497,16460,16204,8893,16499,7954,48659,45299,Carteret,1158,1158,1103,345,1162,7034,5250,66672,17003,42613,44489,45333,17747,45650,47725,48801,6872,5156,7127,6396,1535,5271,4784,1020,57537,17867,69473,62070,12080,2563,13533,13137,13530,28141,28095,27716,13649,27174,11667,13045,13043,12678,2644,26655,27006,27017,13339,26162
MECKLENBURG COUNTY,116487,402555,422192,418187,422326,148447,146743,140991,38932,271977,269676,259806,76920,271982,148510,753410,710678,Mecklenburg,1768,1768,1758,635,1834,9826,5899,1037049,123775,631963,679717,711567,127603,668333,718978,757053,9793,5886,9920,9668,3209,5954,5805,2281,852079,127686,1110356,937616,229326,24556,269277,255317,268596,477856,474988,453868,99838,429339,220831,259566,259521,246313,24428,427518,445258,446047,97066,405327
SWAIN COUNTY,2092,4368,4630,4583,4641,2117,2107,2076,1216,1237,1237,1205,548,1237,2117,9564,8285,Swain,1276,1239,1087,328,1287,4058,3055,13403,2529,7293,7853,8319,2672,8404,9065,9653,3666,2720,4139,3208,523,3085,2345,430,11137,2803,14271,12138,1232,251,1335,1322,1334,4179,4172,4077,1898,3964,1104,1200,1199,1187,232,3946,4031,4034,1867,3844
AVERY COUNTY,2807,5604,5688,5671,5690,3816,3799,3758,1831,1872,1872,1846,976,1872,3818,10067,9480,Avery,,,,,,133,72,16905,3574,9132,9368,9518,3763,9705,9936,10148,133,72,191,133,95,105,72,51,14969,4020,17557,15935,1515,316,1658,1647,1658,8299,8276,8156,3352,8057,1416,1549,1549,1543,309,7753,7859,7864,3214,7644
VANCE COUNTY,6172,13124,13550,13468,13564,7813,7739,7509,3590,5691,5683,5569,2556,5691,7814,28309,26041,Vance,46,46,46,26,59,456,315,41780,7993,23721,25324,26095,8206,25514,27362,28451,456,315,495,456,243,343,315,203,34092,8487,44535,37671,7110,1228,7838,7696,7831,20118,20022,19210,6735,17948,6771,7443,7440,7327,1244,17682,18286,18309,6546,16635
HALIFAX COUNTY,6989,14069,14269,14252,14298,11277,11264,11140,5772,2970,2966,2907,1206,2970,11279,28923,26977,Halifax,22,22,22,11,49,549,352,47245,9531,25428,26542,27030,9860,27032,28338,28991,549,352,584,549,295,389,352,216,39391,10690,50010,43237,4969,965,5511,5408,5511,22896,22863,22381,8600,21514,4620,5115,5115,5032,913,21158,21510,21526,8402,20456
NASH COUNTY,13866,29629,30310,30215,30347,16013,15970,15760,7648,14153,14101,13725,6145,14154,16016,57851,54631,Nash,144,144,144,73,177,947,611,89023,16423,50604,53409,54723,16897,53327,56367,57991,947,611,1007,936,493,681,611,374,73765,17956,94298,81106,17538,3323,20283,19518,20267,36701,36637,35902,13081,34853,16907,19423,19422,18779,3307,34019,34598,34619,12742,33086
RUTHERFORD COUNTY,8002,15050,15308,15262,15340,10755,10715,10579,5756,4543,4537,4461,2236,4543,10759,30296,28389,Rutherford,10,10,10,10,38,678,538,63605,10729,26926,27974,28457,11207,28681,29808,30412,678,538,754,678,488,589,538,432,53422,14855,67029,58398,5548,1481,6044,5935,6039,23614,23579,23195,9238,22455,5374,5835,5832,5744,1456,21692,22019,22033,8841,21014
ASHE COUNTY,4801,9221,9433,9374,9443,5677,5619,5517,2828,3756,3755,3704,1973,3756,5677,16045,15031,Ashe,0,0,0,0,10,154,80,26129,5776,14185,14708,15110,6107,15105,15677,16177,154,80,231,154,111,146,80,69,22479,7249,27203,24214,3218,847,3465,3442,3464,12481,12427,12081,5149,11733,3085,3317,3317,3298,870,11330,11634,11647,4837,11020
STOKES COUNTY,6183,12090,12292,12260,12307,5700,5675,5606,3185,6568,6561,6460,2974,6568,5700,22914,21678,Stokes,24,24,24,24,39,273,145,43536,8022,20586,21327,21769,8336,21707,22517,23023,273,145,355,273,177,221,145,125,37145,9917,45591,40306,7364,1774,7940,7818,7935,14728,14706,14426,6385,14070,6941,7479,7479,7375,1681,13807,14054,14069,6216,13500
GRAHAM COUNTY,1127,1995,2019,2014,2055,1053,1048,1033,573,868,868,864,531,868,1054,4272,3905,Graham,98,98,98,23,133,424,306,8040,1560,3738,3853,3937,1632,4074,4206,4304,405,294,454,362,62,336,255,37,6767,2067,8441,7414,895,172,907,907,907,2943,2941,2894,1398,2817,806,820,820,819,162,2740,2779,2781,1361,2677
PENDER COUNTY,7926,17040,17533,17424,17589,7992,7936,7802,3879,9362,9309,9059,3982,9363,7995,34838,32600,Pender,179,179,179,65,231,1487,944,59482,9670,29897,31637,32712,10066,31911,33792,34988,1453,926,1522,1324,403,1011,842,286,49058,11716,63060,53967,9478,1527,10886,10455,10872,22580,22479,21884,8136,21109,8855,10197,10197,9808,1468,20903,21459,21504,7916,20200
CRAVEN COUNTY,17504,33263,34250,34076,34279,17877,17714,17141,9949,15205,15194,14954,7366,15205,17880,68349,64422,Craven,1168,1168,1168,189,1194,10038,8508,95778,20364,59808,62856,64488,20853,63165,66528,68583,9953,8456,10093,9796,1080,8528,8338,784,80387,20103,102139,87409,15309,2821,16745,16409,16742,41745,41569,40166,16952,38060,14640,15935,15933,15624,2844,38776,39981,40025,16736,36830
GUILFORD COUNTY,74940,191592,199106,197645,199160,57595,57126,55402,22650,140591,139599,135270,51886,140596,57612,351449,333829,Guilford,920,920,920,404,952,5619,3408,505896,81511,301628,321894,334112,83676,316702,338279,352878,5601,3408,5669,5539,2249,3436,3370,1619,418240,83442,537174,459608,98828,16290,117085,110206,116752,230124,229078,222472,65137,212335,95518,113150,113140,106782,16144,211704,217281,217526,63748,202740
MADISON COUNTY,3246,6686,6837,6808,6838,5871,5849,5752,2912,966,959,934,334,966,5872,12836,12349,Madison,,,,,,220,119,20741,4574,11682,12099,12380,4645,12111,12561,12895,220,119,235,220,109,138,119,86,17939,5034,21755,19327,1249,279,1403,1381,1400,11257,11216,10960,4257,10642,1184,1327,1327,1307,260,10673,10903,10915,4228,10379
CHATHAM COUNTY,15583,32235,33810,33304,33851,11184,10886,10488,5563,21924,21716,21090,9946,21925,11194,47639,44256,Chatham,702,702,657,74,732,5018,3265,70897,13930,39670,42432,44394,14579,42588,45620,47968,4893,3205,5053,4386,837,3282,2854,436,59661,18634,74470,65198,12292,2568,14037,13368,13985,28878,28636,27359,11174,25910,11790,13536,13518,12858,2568,26369,27473,27576,10926,25026
PITT COUNTY,19178,49419,51219,50813,51293,19136,18867,18303,5989,31730,31593,30763,13056,31732,19144,103890,97895,Pitt,353,353,353,133,417,2255,1397,170444,23100,89332,94780,98049,23690,94550,100429,104351,2255,1397,2311,2228,796,1455,1386,578,142466,25045,180742,155511,28205,3702,32775,31382,32742,69265,68893,66792,19192,64117,26380,30718,30714,29421,3574,63962,65784,65876,18948,61566
MOORE COUNTY,21232,38802,39912,39587,39941,15752,15507,15192,8529,23451,23371,22964,12599,23451,15754,63130,59014,Moore,709,709,646,104,736,4965,3312,94937,23047,55382,57876,59160,23876,58987,61783,63539,4809,3244,5066,4282,934,3352,2869,640,79328,24192,100880,86466,15205,3574,17273,16523,17258,41200,40907,40451,19368,39500,14483,16419,16414,15725,3540,38907,39288,39389,18867,38030
FORSYTH COUNTY,53546,135559,141595,140201,141651,49537,48700,46786,19720,91362,90805,88077,33485,91364,49546,255527,239976,Forsyth,696,696,696,341,741,4218,2514,359934,60385,216390,231050,240428,62371,229595,245319,257010,4218,2514,4268,4185,1799,2545,2487,1317,295401,62720,382295,325690,68103,11426,77416,74460,77292,175326,174017,166641,49146,157307,65956,74922,74916,72245,11532,156291,162546,162961,47536,147947
IREDELL COUNTY,23018,54930,56668,56372,56723,17085,17000,16617,7920,39345,39134,38075,14943,39345,17090,102026,97343,Iredell,238,238,238,155,288,2088,1430,171884,26539,89284,94755,97463,27063,93344,99172,102341,2088,1430,2157,2042,1046,1494,1402,879,140623,29513,181806,156060,37103,5688,42750,40926,42667,57434,57271,56158,20329,54199,35703,40927,40922,39321,5815,54004,54991,55042,19845,52179
TRANSYLVANIA COUNTY,7582,12959,13196,13153,13208,7294,7258,7115,3949,5902,5895,5844,3633,5902,7295,19778,19187,Transylvania,0,0,0,0,11,332,208,33015,8319,18109,18764,19252,8459,18626,19322,19868,332,208,386,332,263,255,208,194,29099,10809,34385,30988,3303,1141,3493,3437,3484,15989,15962,15553,7055,14991,3200,3358,3354,3311,1156,15245,15625,15639,6969,14701
MARTIN COUNTY,2956,5449,5523,5511,5529,3090,3081,3035,1654,2387,2384,2368,1276,2387,3092,11772,11003,Martin,46,46,46,26,50,194,136,21211,4084,10365,10815,11049,4270,11048,11555,11839,194,136,246,194,137,174,136,115,17917,5372,22440,19455,2489,578,2703,2638,2703,8890,8875,8723,3555,8365,2337,2531,2531,2477,543,8202,8336,8344,3426,7892
WARREN COUNTY,3288,6489,6606,6585,6629,4092,4073,4016,2014,2514,2512,2473,1274,2514,4092,11587,10947,Warren,0,0,0,0,23,156,116,18843,3897,10219,10673,10965,3988,10735,11261,11631,156,116,166,156,104,122,116,85,16200,5173,19731,17477,2387,517,2657,2609,2656,8808,8775,8496,3367,8192,2320,2572,2572,2522,540,8035,8259,8271,3272,7783
JONES COUNTY,1535,2807,2862,2854,2910,1824,1816,1784,1008,987,987,972,513,987,1824,5718,5236,Jones,51,51,51,14,99,549,354,8956,1955,4936,5143,5297,2086,5360,5619,5757,549,354,576,523,154,413,354,73,7704,2257,9419,8314,1185,250,1286,1267,1286,3895,3883,3803,1682,3652,1073,1171,1171,1146,235,3643,3711,3713,1647,3509
DAVIE COUNTY,7424,14906,15399,15300,15447,6312,6243,6063,3121,9077,9047,8833,4293,9077,6313,25856,24808,Davie,10,10,10,10,57,463,257,40760,8423,22853,24149,24913,8629,23816,25160,25998,463,257,524,463,220,326,257,170,33901,9279,42846,37262,7240,1765,8089,7873,8080,17385,17313,16824,6644,16113,6976,7805,7803,7585,1746,16307,16748,16782,6507,15620
CUMBERLAND COUNTY,32644,89551,92116,91707,92155,30197,30003,29337,13741,45467,45274,43997,16960,45470,30205,234011,203860,Cumberland,16452,16430,16217,1943,16480,90985,69171,310252,38091,187370,198424,204024,41230,215172,227514,234452,90010,68617,91036,87619,8254,69225,66758,5865,252655,40937,335509,277878,52516,6876,61408,58533,61330,82008,81696,78971,26100,75037,49955,58244,58226,55618,6757,74189,76463,76555,25469,70657
MCDOWELL COUNTY,5742,11692,11927,11875,11957,8490,8443,8289,3919,3437,3432,3403,1823,3437,8494,25410,23966,Mcdowell,0,0,0,0,26,562,339,43474,8265,22624,23593,24020,8601,23935,24987,25515,562,339,622,562,296,380,339,218,36617,9517,45756,39943,3297,673,3476,3438,3475,21417,21373,20987,7632,20076,2958,3110,3110,3080,598,20174,20517,20530,7449,19327
CHEROKEE COUNTY,4657,7351,7409,7401,7450,5019,5011,4966,3264,2287,2287,2282,1338,2287,5022,14023,13161,Cherokee,103,103,103,55,141,613,439,27420,6479,12776,13055,13276,6726,13602,13902,14143,613,439,716,613,234,541,439,185,23877,8723,28612,25640,2890,911,2912,2909,2912,10515,10498,10380,5581,10099,2606,2623,2623,2623,850,9993,10099,10112,5444,9731
CHOWAN COUNTY,2710,4676,4741,4736,4760,3073,3068,3034,1820,1668,1668,1642,890,1668,3077,8730,7885,Chowan,0,0,0,0,15,164,66,13243,3187,7458,7787,7946,3517,8263,8612,8824,164,66,245,164,57,125,66,10,11164,3521,13943,12171,1724,421,1832,1827,1832,6747,6734,6621,3039,6375,1674,1775,1775,1772,452,5949,6044,6046,2725,5718
ORANGE COUNTY,26366,82129,89278,86756,89326,40898,38916,36225,10855,48327,47787,45851,15481,48329,40917,117800,114276,Orange,53,53,53,30,80,1371,855,142010,23895,99108,107301,115157,24205,101997,110405,119695,1371,855,1461,1371,443,936,855,350,119925,21654,148476,130842,23432,3328,26514,25479,26359,91720,90070,83555,20434,77194,23337,26439,26359,25394,3448,81052,87062,87782,20097,74916
ALEXANDER COUNTY,4342,8975,9158,9120,9192,6304,6270,6177,2986,2844,2840,2788,1356,2844,6304,17770,16798,Alexander,10,10,10,0,44,389,200,35620,5873,16000,16547,16901,6130,16928,17508,17894,389,200,493,389,160,298,200,73,30040,7667,37497,32781,2793,407,3051,2992,3049,14350,14332,14127,5563,13746,2611,2857,2857,2795,387,13552,13741,13746,5413,13189
DURHAM COUNTY,44630,156235,164910,161800,164962,82824,80653,77449,19911,81615,80676,78315,24544,81615,82830,243310,231256,Durham,471,471,471,175,517,8119,5466,301307,43575,206989,220259,232765,44778,217370,231289,247060,8095,5453,8184,8025,2085,5514,5410,1554,255829,43764,321488,275950,53572,6309,61199,58301,60890,177677,174301,164893,36384,155773,52208,59600,59515,56867,6297,157939,166275,167651,35724,149371
HENDERSON COUNTY,23899,44142,45340,45083,45395,27722,27515,26858,14549,17578,17528,17244,9325,17578,27747,72710,69738,Henderson,40,40,40,25,70,1708,994,111764,27386,64950,67941,69847,27951,67602,70768,72995,1708,994,1756,1708,1033,1062,994,767,95451,30961,117417,103234,13854,4163,15096,14697,15082,56143,55920,54363,22755,52040,13284,14482,14477,14109,4126,52838,54267,54303,22493,50672
PASQUOTANK COUNTY,5198,10812,11056,11014,11073,6543,6503,6351,3037,4513,4511,4461,2161,4513,6545,23157,21196,Pasquotank,0,0,0,0,15,36,0,37393,6852,19760,20672,21232,7415,21571,22556,23232,36,0,52,36,24,21,0,0,31068,6841,39824,34029,5487,1039,5805,5728,5804,17375,17317,16792,6352,16048,5189,5478,5477,5406,981,15266,15719,15733,5871,14571
PAMLICO COUNTY,2711,4355,4413,4399,4449,2942,2930,2890,1803,1471,1469,1465,908,1471,2942,7376,7022,Pamlico,0,0,0,0,36,179,127,12261,3318,6774,6943,7068,3397,7084,7277,7441,179,127,237,179,91,172,127,74,10805,3866,12726,11540,1222,298,1320,1297,1320,5884,5877,5801,3008,5683,1158,1239,1239,1222,296,5594,5656,5657,2948,5489
MITCHELL COUNTY,1881,3842,3911,3903,3911,3100,3092,3052,1493,811,811,790,388,811,3100,7826,7278,Mitchell,,,,,,109,52,14242,2877,6970,7192,7302,3016,7473,7717,7851,109,52,124,109,77,75,52,52,12229,3810,14964,13195,1153,285,1293,1282,1293,6434,6424,6326,2654,6211,1031,1161,1161,1153,241,5987,6065,6066,2584,5887
CURRITUCK COUNTY,2755,5544,5622,5610,5657,3601,3591,3547,1803,1946,1944,1922,952,1946,3601,13688,12193,Currituck,75,75,75,0,110,1044,646,26216,4340,11610,12006,12249,4950,13058,13484,13748,1000,619,1083,897,142,697,539,41,21675,4551,27763,23787,2090,409,2242,2196,2241,10423,10403,10288,4399,10071,1971,2115,2115,2067,403,9320,9432,9437,3896,9100
BRUNSWICK COUNTY,43971,66923,67682,67535,67733,25047,24982,24753,16675,42383,42301,41918,27185,42385,25050,94724,90396,Brunswick,252,252,252,111,298,2988,2025,137478,44452,86480,89085,90479,45626,90428,93275,94864,2988,2025,3009,2962,1717,2066,2025,1273,121795,46605,142820,129086,23472,6899,25822,25045,25810,66033,65926,65242,37010,63994,22592,24802,24800,24092,7097,62968,63571,63611,36082,61863
DAVIDSON COUNTY,21051,44121,45189,45005,45249,21806,21657,21145,10827,23108,23073,22701,10065,23108,21809,88275,82186,Davidson,275,275,275,159,332,2152,1388,158409,26054,76646,80470,82266,26827,81927,86202,88511,2140,1388,2224,2088,1048,1435,1352,759,131285,31089,167609,144432,24862,4848,26966,26442,26958,59321,59165,57620,20931,54977,23616,25536,25535,25070,4837,54012,55263,55295,20458,51678
FRANKLIN COUNTY,9352,21450,22079,21968,22159,8707,8636,8425,3723,13276,13236,12929,5592,13277,8712,40429,38067,Franklin,96,96,96,37,170,1362,822,65799,10868,34874,36991,38147,11192,36896,39199,40651,1345,822,1437,1263,479,871,770,296,54524,11935,69685,59978,12716,2129,14540,14033,14514,24674,24553,23821,8584,22917,12172,13882,13882,13436,2142,22733,23363,23394,8430,21932
DARE COUNTY,8019,15805,16102,16069,16133,7279,7255,7136,4071,8823,8814,8669,3948,8823,7282,28254,27040,Dare,0,0,0,0,28,312,112,35367,9603,25370,26453,27141,9920,26471,27611,28373,312,112,379,312,119,193,112,0,30088,8201,37009,32745,5316,703,6051,5778,6042,21943,21900,21521,9098,20843,4993,5726,5722,5464,684,20877,21206,21222,8919,20265
NEW HANOVER COUNTY,41403,93625,96552,95931,96603,36842,36581,35763,17055,59280,58920,57432,24175,59280,36857,157393,149929,New Hanover,430,430,430,173,466,3353,2115,223363,42124,137889,145408,150191,43209,144350,152432,158020,3328,2105,3417,3247,1400,2156,2051,989,191812,43147,234473,206724,45475,6694,52650,50064,52559,101953,101481,99040,35115,95628,43673,50665,50663,48236,6653,95067,97151,97370,34482,92165
BLADEN COUNTY,4502,9126,9338,9313,9375,5494,5484,5428,3104,2735,2731,2670,1245,2735,5497,24219,21125,Bladen,1109,1098,1028,153,1143,6681,4714,31131,6185,19255,20652,21162,6708,21862,23583,24309,6419,4580,6757,5538,771,4743,3951,467,26077,7459,32722,28574,4305,772,4725,4640,4724,12827,12814,12524,5165,12019,4088,4494,4494,4415,725,11657,11917,11925,4993,11216
ANSON COUNTY,2720,5853,5944,5932,5965,4469,4457,4416,2130,1465,1465,1427,590,1465,4470,12410,11564,Anson,10,10,10,0,30,170,102,23143,3829,10910,11354,11602,3973,11689,12170,12477,170,102,226,170,99,137,102,75,19608,4730,24446,21306,2730,468,3089,3047,3088,9162,9152,8953,3406,8789,2488,2819,2819,2785,421,8467,8643,8646,3333,8320
"",19187,34957,34957,34957,35831,,,,,,,,,,,0,0,"",34957,34957,34957,19187,35831,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
