county1,New Booster Doses - All Programs12Plus,New Booster Doses - All Programs5Plus,New Booster Doses - All Programs65Plus,New Booster Doses - All Programs18Plus,New Booster Doses- All Programs,Bivalent NC Dose - 5 Plus,Bivalent NC Dose - 12 Plus,Bivalent NC Dose - 18 Plus,Bivalent NC Dose - 65 Plus,Bivalent NC Dose,Bivalent LTC Dose,Bivalent LTC Dose  - 5 Plus,Bivalent LTC Dose  - 12 Plus,Bivalent LTC Dose  - 18 Plus,Bivalent LTC Dose  - 65 Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county-1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
GRANVILLE COUNTY,1979,1979,986,1925,1980,1111,1111,1076,595,1112,868,868,868,849,391,8010,10662,9523,10660,10539,10204,4200,9522,9480,9260,3544,9523,10662,21253,21808,21971,21993,40628,9147,35213,37155,38284,9396,37312,39435,40897,Granville,1789,1789,1789,266,1808,20182,20019,19464,7744,5466,4716,57336,5466,4716,5563,5466,642,4782,4716,534,48058,10674,60443,52711,GRANVILLE COUNTY,20185,9738,1363,10973,10638,10958,24361,24204,23331,7391,22108,9381,10535,10532,10221,1420,22218,22923,22967,7193,21116
GASTON COUNTY,5010,5010,2621,4938,5010,1869,1869,1856,1165,1869,3141,3141,3141,3082,1456,25038,26025,34277,26011,25837,25382,11842,34277,34117,33228,13018,34277,26025,58924,60268,60602,60671,121923,32111,105310,110975,114072,33532,112408,118568,122341,Gaston,314,314,314,178,369,60288,59954,58610,24860,1954,1210,211171,1954,1210,2026,1921,1020,1254,1185,696,174276,36651,224529,191721,GASTON COUNTY,60302,38159,5952,43436,41980,43388,76879,76581,74634,26560,72328,36099,41033,41030,39711,5785,70054,71698,71785,25630,68026
EDGECOMBE COUNTY,813,813,511,806,813,502,502,502,350,502,311,311,311,304,161,6675,8648,4303,8647,8622,8537,4667,4303,4286,4185,1954,4303,8648,12818,13004,13046,13095,26933,8310,23266,24377,24913,8734,25144,26366,27056,Edgecombe,96,96,96,54,144,12950,12908,12722,6621,882,522,48532,882,522,943,866,424,575,501,232,39904,10509,51472,43948,EDGECOMBE COUNTY,12951,6761,1269,7648,7443,7641,18465,18410,18041,7041,17517,6278,7086,7086,6916,1210,16939,17243,17252,6868,16487
WATAUGA COUNTY,2138,2138,1134,2079,2138,1254,1254,1204,678,1254,884,884,884,875,456,7249,13313,6366,13311,13004,12442,4953,6366,6363,6279,2296,6366,13313,18721,19367,19677,19679,33099,7820,29006,30299,31381,8201,30853,32058,33443,Watauga,,,,,,19677,19367,18721,7249,133,65,54308,133,65,223,133,74,108,65,55,49022,9229,56177,51530,WATAUGA COUNTY,19679,4633,733,4818,4795,4816,28402,28150,27130,7394,26087,4281,4454,4454,4434,697,25800,26760,26819,7068,24660
HOKE COUNTY,603,603,274,572,603,266,266,245,130,266,337,337,337,327,144,3622,5083,4397,5081,5005,4886,2202,4397,4374,4251,1280,4397,5083,10145,10436,10535,10575,26872,4510,20881,22579,23521,4829,23791,25798,27029,Hoke,1057,1057,1008,140,1095,9478,9379,9137,3482,6396,4553,50664,6187,4425,6446,5603,597,4568,3977,444,40282,5854,55234,44624,HOKE COUNTY,9480,6193,665,7189,6900,7181,13394,13295,12711,3567,11995,5903,6805,6804,6555,632,11599,12107,12148,3434,11001
BERTIE COUNTY,233,233,131,233,233,158,158,158,85,158,75,75,75,75,46,2623,3853,1499,3853,3850,3811,1912,1499,1496,1475,711,1499,3853,5286,5346,5352,5362,10956,3735,9688,10037,10220,3956,10409,10796,11033,Bertie,0,0,0,0,10,5352,5346,5286,2623,69,26,18126,69,26,135,69,20,69,26,16,15647,4479,18947,16854,BERTIE COUNTY,5352,1958,394,2146,2101,2146,8752,8741,8626,3542,8382,1825,1993,1993,1952,374,8059,8154,8158,3345,7837
PERSON COUNTY,951,951,555,930,951,405,405,390,229,405,546,546,546,540,326,6598,6884,7053,6879,6827,6697,3085,7053,7029,6921,3480,7053,6884,13674,13912,13988,13998,23698,7517,21014,22040,22590,7667,22012,23097,23793,Person,56,56,56,33,61,13932,13856,13618,6565,441,294,37405,441,294,452,441,225,302,294,186,31361,7938,39490,34239,PERSON COUNTY,13937,5751,1207,6277,6105,6273,17064,16984,16551,6235,15820,5412,5903,5901,5740,1177,16006,16358,16385,6154,15308
BEAUFORT COUNTY,1269,1269,881,1254,1269,806,806,798,591,806,463,463,463,456,290,8592,9824,5093,9824,9802,9705,5727,5093,5089,5018,2806,5093,9824,14811,14979,15005,15007,27628,10766,24804,25691,26150,11215,26229,27232,27716,Beaufort,88,88,88,59,90,14917,14891,14723,8533,671,380,44735,671,380,714,671,390,476,380,243,37669,11538,46994,41131,BEAUFORT COUNTY,14917,5145,1018,5779,5686,5778,21223,21179,20875,9807,20413,4795,5350,5350,5263,977,20048,20314,20324,9546,19629
JACKSON COUNTY,1302,1302,785,1276,1302,689,689,672,469,689,613,613,613,604,316,5957,7059,5018,7053,6976,6844,3315,5018,5010,4884,2328,5018,7059,12815,13216,13333,13373,25557,7113,21781,22882,23770,7364,23449,24656,25791,Jackson,1262,1230,1087,314,1296,12071,11986,11728,5643,4172,3168,42001,3814,2867,4319,3424,678,3256,2533,570,36721,8759,43938,39175,JACKSON COUNTY,12077,3439,615,3840,3772,3834,17632,17551,17070,6071,16586,3182,3563,3562,3504,588,16511,16926,16951,5955,16066
CATAWBA COUNTY,4717,4717,2843,4633,4717,1656,1656,1613,1157,1656,3061,3061,3061,3020,1686,21983,14594,33799,14590,14353,13834,7049,33799,33699,33007,14907,33799,14594,46886,48097,48434,48483,91344,27850,80766,85342,87530,28410,84253,89057,91677,Catawba,45,45,45,27,90,48389,48052,46841,21956,1154,694,150636,1154,694,1215,1126,508,759,683,354,124631,29156,159551,137151,CATAWBA COUNTY,48393,30045,4722,33339,32419,33308,57123,56882,55484,23180,53082,28425,31544,31543,30704,4618,53944,55199,55227,22878,51658
WAKE COUNTY,71513,71518,27613,68381,71530,20567,20562,19220,8754,20578,50952,50951,50951,49161,18859,146547,203031,350520,202931,194672,181518,52312,350493,346173,332727,93750,350520,203031,515698,542298,554877,555064,858618,144023,716798,778814,829304,147434,744383,808557,870298,Wake,1453,1453,1453,485,1513,553424,540845,514245,146062,12477,8183,1044525,12431,8167,12578,12285,3814,8231,8072,2951,849055,133864,1111761,941934,WAKE COUNTY,553551,239515,24512,286328,268578,285102,571392,561039,527548,119108,492583,235392,280286,279967,263795,24953,506852,537915,540787,116119,473334
CLEVELAND COUNTY,2490,2491,1602,2461,2491,1539,1539,1527,1044,1539,952,952,951,934,558,13196,13882,12699,13881,13794,13561,7000,12698,12677,12433,6170,12699,13882,26030,26507,26615,26648,52805,16603,46345,48776,49795,17098,49157,51773,52924,Cleveland,36,36,36,26,67,26579,26471,25994,13170,673,400,92365,673,400,728,673,388,474,400,291,76504,18575,97947,84044,CLEVELAND COUNTY,26581,14650,2758,16016,15868,16014,36180,36118,35232,13952,33834,13548,14817,14817,14688,2660,33688,34495,34504,13652,32397
SAMPSON COUNTY,1479,1479,845,1475,1479,893,893,891,489,893,586,586,586,584,356,7614,9519,6990,9516,9480,9277,4454,6990,6984,6855,3132,6990,9519,16179,16511,16553,16599,36064,9648,31169,32783,33463,9997,33550,35327,36144,Sampson,47,47,47,28,90,16506,16464,16132,7586,636,405,59389,636,405,678,636,291,461,405,208,48081,11637,63531,53473,SAMPSON COUNTY,16509,8387,1435,9201,9005,9201,26265,26227,25686,8271,24527,7922,8671,8671,8509,1397,23869,24315,24331,8043,22842
COLUMBUS COUNTY,862,862,536,854,863,556,556,556,354,557,306,306,306,298,182,5550,7250,4420,7249,7235,7200,3335,4420,4409,4309,2196,4420,7250,11552,11687,11712,11733,25718,7571,22655,23712,24126,7883,24116,25272,25840,Columbus,43,43,43,19,63,11669,11644,11509,5531,389,307,52603,389,307,479,389,233,349,307,205,44013,11419,55508,48224,COLUMBUS COUNTY,11670,6390,1268,7439,7247,7437,17922,17892,17636,6382,17337,5945,6965,6963,6798,1192,16607,16795,16812,6174,16403
CASWELL COUNTY,556,556,362,553,556,466,466,466,318,466,90,90,90,87,44,3077,4842,1390,4839,4824,4771,2465,1390,1386,1368,612,1390,4842,6139,6210,6229,6246,11524,4173,10250,10575,10823,4399,10955,11315,11605,Caswell,0,0,0,0,14,6229,6210,6139,3077,180,74,21496,180,74,235,180,87,129,74,61,18383,5005,22604,19944,CASWELL COUNTY,6232,1677,415,1788,1768,1788,9582,9556,9367,3897,9098,1418,1518,1518,1498,296,9003,9165,9176,3816,8758
YANCEY COUNTY,973,973,663,960,973,913,913,904,629,913,60,60,60,56,34,3013,4990,571,4990,4961,4905,2781,571,570,535,232,571,4990,5440,5531,5561,5561,9689,3899,8754,9038,9228,4024,9199,9513,9763,Yancey,,,,,,5561,5531,5440,3013,137,107,17212,137,107,180,137,118,134,107,107,14782,4744,18069,15969,YANCEY COUNTY,5561,963,172,1112,1108,1110,8471,8442,8268,3734,8099,890,1032,1031,1026,170,7905,8052,8062,3622,7757
LEE COUNTY,2104,2104,1200,2015,2104,992,992,927,585,992,1112,1112,1112,1088,615,8019,8125,10497,8123,7947,7632,3687,10497,10445,10214,4281,10497,8125,17958,18504,18732,18763,37231,9584,31515,33662,34791,9919,33626,35968,37462,Lee,112,112,112,51,141,18620,18392,17846,7968,705,474,57893,705,474,723,705,276,496,474,227,47136,10404,61779,52144,LEE COUNTY,18622,10743,1525,12399,12012,12384,24340,24142,23251,8118,22178,10404,11929,11928,11601,1514,21587,22335,22366,7843,20637
HERTFORD COUNTY,579,579,368,577,579,444,444,443,291,444,135,135,135,134,77,3268,4388,2095,4386,4381,4360,2332,2094,2091,2030,936,2095,4388,6390,6472,6480,6496,12257,4166,10782,11261,11470,4363,11510,12056,12338,Hertford,0,0,0,0,13,6480,6472,6390,3268,43,12,22610,43,12,97,43,29,41,12,12,19299,4836,23677,20898,HERTFORD COUNTY,6483,3121,685,3600,3508,3595,8641,8619,8505,3649,8346,2914,3327,3327,3251,675,7998,8089,8102,3479,7856
ROCKINGHAM COUNTY,2087,2087,1227,2060,2087,782,782,774,507,782,1305,1305,1305,1286,720,14213,11280,15354,11277,11232,11100,6465,15351,15327,15171,7686,15354,11280,26374,26662,26731,26755,49302,16837,44225,45988,46876,17296,46496,48382,49460,Rockingham,103,103,103,62,121,26628,26559,26271,14151,594,365,86406,594,365,633,594,374,405,365,278,72695,18996,91010,79246,ROCKINGHAM COUNTY,26634,14349,2996,15548,15181,15536,33279,33172,32607,13926,31553,13609,14727,14727,14395,2953,31228,31715,31744,13606,30251
CARTERET COUNTY,2371,2371,1639,2358,2371,685,685,680,505,685,1686,1686,1686,1678,1134,14072,7993,16543,7992,7955,7873,4739,16541,16503,16259,8986,16543,7993,25250,25636,25711,25717,48757,17162,42736,44590,45438,17919,45769,47825,48916,Carteret,1178,1178,1118,347,1181,24533,24458,24132,13725,7071,5287,66672,6902,5185,7167,6424,1548,5308,4809,1025,57537,17867,69473,62070,CARTERET COUNTY,24536,12117,2607,13550,13159,13545,28199,28141,27764,13764,27228,11700,13055,13052,12693,2686,26712,27063,27075,13451,26227
MECKLENBURG COUNTY,40080,40083,16827,38900,40085,8465,8462,8232,3621,8467,31618,31618,31618,30668,13206,117696,148278,273114,148215,146221,140588,39151,273108,270565,260879,77908,273114,148278,403246,418575,423112,423272,752751,124308,632180,679512,711270,128201,668651,718834,757122,Mecklenburg,1789,1789,1779,637,1880,421323,416786,401467,117059,9877,5928,1037049,9844,5915,10017,9719,3228,5995,5832,2293,852079,127686,1110356,937616,MECKLENBURG COUNTY,421392,230334,24974,270073,256119,269264,477032,473610,452871,99999,428598,221898,260437,260348,247188,24837,426409,443875,444838,97178,404450
SWAIN COUNTY,461,461,319,458,461,216,216,214,152,216,245,245,245,244,167,2105,2106,1246,2106,2094,2064,1214,1246,1246,1216,557,1246,2106,4386,4608,4675,4707,9558,2527,7273,7838,8353,2674,8394,9056,9690,Swain,1323,1268,1106,334,1355,3352,3340,3280,1771,4070,3076,13403,3674,2734,4192,3216,524,3146,2353,430,11137,2803,14271,12138,SWAIN COUNTY,3352,1240,259,1343,1329,1341,4155,4147,4053,1891,3938,1108,1202,1201,1189,239,3915,4001,4005,1858,3812
AVERY COUNTY,611,611,411,608,611,337,337,335,231,337,274,274,274,273,180,2854,3855,1892,3853,3836,3798,1864,1892,1892,1867,990,1892,3855,5665,5728,5745,5747,10121,3616,9187,9425,9577,3815,9759,9989,10205,Avery,,,,,,5745,5728,5665,2854,135,72,16905,135,72,193,135,97,106,72,51,14969,4020,17557,15935,AVERY COUNTY,5747,1518,324,1660,1649,1660,8352,8326,8205,3394,8106,1417,1549,1549,1543,312,7810,7916,7922,3253,7698
VANCE COUNTY,1377,1377,830,1343,1377,862,862,835,537,862,515,515,515,508,293,6251,7899,5718,7898,7801,7553,3638,5718,5705,5595,2587,5718,7899,13196,13554,13664,13678,28459,8073,23805,25414,26201,8296,25630,27490,28640,Vance,48,48,48,26,61,13616,13506,13148,6225,457,316,41780,457,316,510,457,244,344,316,204,34092,8487,44535,37671,VANCE COUNTY,13617,7149,1241,7863,7721,7857,20267,20145,19312,6811,18024,6801,7464,7461,7346,1259,17752,18363,18393,6610,16688
HALIFAX COUNTY,1423,1423,934,1406,1423,1235,1235,1223,844,1235,188,188,188,183,90,7061,11334,2982,11332,11309,11169,5822,2982,2978,2918,1228,2982,11334,14109,14309,14336,14365,28977,9608,25476,26590,27097,9935,27082,28388,29082,Halifax,22,22,22,11,49,14314,14287,14087,7050,555,355,47245,555,355,592,555,299,393,355,217,39391,10690,50010,43237,HALIFAX COUNTY,14316,4997,979,5525,5432,5525,22965,22897,22401,8657,21530,4641,5128,5128,5052,927,21183,21555,21576,8464,20480
NASH COUNTY,2453,2453,1463,2410,2453,1043,1043,1031,611,1043,1410,1410,1410,1379,852,13976,16089,14204,16086,16033,15822,7707,14203,14142,13770,6195,14204,16089,29737,30320,30434,30473,57943,16515,50734,53516,54819,17011,53476,56484,58110,Nash,145,145,145,74,180,30289,30175,29592,13902,956,614,89023,956,614,1016,945,497,684,614,376,73765,17956,94298,81106,NASH COUNTY,30293,17660,3363,20359,19613,20340,36735,36647,35915,13151,34871,17018,19498,19497,18868,3344,34034,34613,34637,12795,33102
RUTHERFORD COUNTY,1759,1759,1214,1750,1759,1218,1218,1212,858,1218,541,541,541,538,356,8076,10815,4551,10811,10767,10632,5819,4551,4545,4475,2245,4551,10815,15119,15324,15374,15416,30299,10794,26971,28009,28486,11273,28707,29823,30417,Rutherford,12,12,12,12,50,15362,15312,15107,8064,681,538,63605,681,538,757,681,489,589,538,432,53422,14855,67029,58398,RUTHERFORD COUNTY,15366,5568,1498,6053,5946,6048,23607,23570,23196,9286,22458,5399,5846,5843,5757,1473,21714,22036,22051,8889,21034
ASHE COUNTY,975,975,594,961,975,627,627,615,392,627,348,348,348,346,202,4841,5736,3728,5736,5675,5575,2879,3728,3727,3679,1962,3728,5736,9254,9402,9464,9474,16145,5868,14308,14827,15235,6205,15219,15780,16288,Ashe,0,0,0,0,10,9464,9402,9254,4841,158,80,26129,158,80,236,158,112,147,80,69,22479,7249,27203,24214,ASHE COUNTY,9464,3229,858,3464,3441,3463,12588,12524,12181,5235,11832,3095,3315,3315,3297,882,11450,11753,11773,4917,11133
STOKES COUNTY,1184,1184,716,1167,1184,621,621,614,408,621,563,563,563,553,308,6275,5728,6588,5728,5695,5626,3227,6588,6581,6481,3023,6588,5728,12143,12312,12352,12359,22990,8128,20672,21409,21855,8439,21792,22596,23109,Stokes,36,36,36,25,43,12316,12276,12107,6250,276,145,43536,276,145,358,276,179,222,145,125,37145,9917,45591,40306,STOKES COUNTY,12316,7398,1805,7963,7845,7959,14788,14755,14475,6455,14118,6975,7506,7506,7404,1715,13860,14107,14127,6288,13552
GRAHAM COUNTY,269,269,183,268,269,125,125,125,94,125,144,144,144,143,89,1137,1056,872,1055,1050,1035,578,872,872,868,536,872,1056,2001,2020,2025,2063,4275,1575,3742,3858,3944,1647,4075,4207,4310,Graham,98,98,98,23,135,1927,1922,1903,1114,426,307,8040,405,294,457,362,62,337,255,37,6767,2067,8441,7414,GRAHAM COUNTY,1928,895,175,907,907,907,2946,2942,2895,1410,2818,807,821,821,820,164,2744,2784,2786,1374,2680
PENDER COUNTY,1671,1671,1043,1646,1671,906,906,894,601,906,765,765,765,752,442,8027,8044,9415,8041,7967,7838,3918,9414,9356,9111,4043,9415,8044,17130,17504,17636,17694,34903,9744,29957,31690,32803,10161,31996,33871,35071,Pender,181,181,181,66,235,17455,17323,16949,7961,1492,947,59482,1456,928,1527,1326,403,1014,844,286,49058,11716,63060,53967,PENDER COUNTY,17459,9517,1557,10909,10483,10897,22635,22514,21932,8201,21153,8895,10223,10223,9839,1498,20923,21482,21566,7960,20218
CRAVEN COUNTY,2950,2950,1889,2870,2950,1632,1632,1571,1094,1632,1318,1318,1318,1299,795,17697,18019,15243,18016,17809,17220,10053,15243,15230,14995,7450,15243,18019,33408,34243,34475,34497,68536,20559,60006,63029,64702,21049,63339,66692,68833,Craven,1216,1204,1193,194,1235,33259,33039,32215,17503,10066,8535,95778,9976,8476,10123,9813,1085,8555,8357,785,80387,20103,102139,87409,CRAVEN COUNTY,33262,15391,2867,16796,16466,16791,41914,41679,40250,17097,38135,14719,15983,15981,15679,2892,38874,40105,40164,16882,36930
GUILFORD COUNTY,20022,20022,10041,19460,20022,3512,3512,3418,2035,3512,16510,16510,16510,16042,8006,75941,58328,141200,58311,57681,55935,23053,141195,140090,135845,52481,141200,58328,192718,198709,200444,200509,352179,82242,302657,322787,335064,84444,317650,339088,354031,Guilford,938,938,938,407,981,199506,197771,191780,75534,5658,3441,505896,5639,3441,5764,5574,2271,3470,3400,1628,418240,83442,537174,459608,GUILFORD COUNTY,199528,99294,16505,117523,110661,117131,230744,229390,222788,65668,212782,96044,113634,113621,107297,16351,212049,217642,217960,64263,203213
MADISON COUNTY,1002,1002,621,990,1002,832,832,823,537,832,170,170,170,167,84,3256,5856,967,5855,5823,5727,2922,967,960,935,334,967,5856,6662,6783,6822,6823,12815,4592,11677,12086,12372,4660,12096,12539,12896,Madison,,,,,,6822,6783,6662,3256,220,119,20741,220,119,246,220,109,138,119,86,17939,5034,21755,19327,MADISON COUNTY,6823,1252,282,1403,1381,1400,11247,11195,10938,4269,10624,1186,1326,1326,1306,264,10661,10889,10908,4242,10372
CHATHAM COUNTY,5774,5774,3374,5619,5775,1596,1596,1541,980,1597,4178,4178,4178,4078,2394,15999,11730,22000,11720,11387,10981,5868,21999,21783,21172,10056,22000,11730,32825,33890,34439,34482,48456,14282,40490,43251,45258,14947,43412,46441,48873,Chatham,720,720,672,75,752,33719,33170,32153,15924,5050,3292,70897,4910,3225,5096,4402,843,3309,2872,440,59661,18634,74470,65198,CHATHAM COUNTY,33730,12344,2599,14070,13403,14010,29707,29396,28128,11505,26666,11866,13576,13558,12921,2606,27105,28207,28373,11236,25752
PITT COUNTY,5078,5078,2344,4919,5078,1955,1955,1873,736,1955,3123,3123,3123,3046,1608,19412,19395,31877,19387,19026,18415,6096,31875,31718,30911,13180,31877,19395,49688,51106,51624,51698,104279,23306,89628,95068,98450,23895,94838,100736,104920,Pitt,362,362,362,136,426,51262,50744,49326,19276,2262,1407,170444,2262,1407,2348,2235,800,1466,1396,580,142466,25045,180742,155511,PITT COUNTY,51272,28390,3773,32933,31561,32896,69639,69121,66913,19322,64213,26559,30863,30857,29583,3645,64078,65985,66121,19081,61673
MOORE COUNTY,5017,5017,3264,4884,5017,1695,1695,1616,1066,1695,3322,3322,3322,3268,2198,21481,16001,23527,15999,15683,15334,8641,23527,23442,23045,12734,23527,16001,39029,39842,40243,40272,63458,23257,55615,58102,59502,24100,59245,62041,63981,Moore,717,717,650,106,744,39526,39125,38379,21375,4993,3333,94937,4829,3258,5097,4298,939,3373,2881,643,79328,24192,100880,86466,MOORE COUNTY,39528,15289,3613,17323,16584,17307,41561,41158,40628,19548,39658,14550,16458,16454,15773,3572,39071,39515,39671,19042,38184
FORSYTH COUNTY,16893,16896,8440,16420,16896,4779,4776,4577,2367,4779,12117,12117,12117,11843,6073,54156,50153,91801,50144,49040,47059,19898,91799,91193,88536,33920,91801,50153,136294,140932,142642,142711,256243,60744,217015,231652,241328,62770,230206,245907,258107,Forsyth,699,699,699,338,757,141943,140233,135595,53818,4241,2520,359934,4241,2520,4315,4208,1810,2564,2493,1319,295401,62720,382295,325690,FORSYTH COUNTY,141954,68431,11567,77659,74731,77515,176133,174487,166935,49393,157567,66288,75171,75164,72527,11679,156605,162977,163593,47746,148234
IREDELL COUNTY,4928,4928,2707,4831,4928,1107,1107,1078,655,1107,3821,3821,3821,3753,2052,23252,17122,39468,17116,17021,16644,7977,39468,39248,38213,15110,39468,17122,55106,56518,56833,56890,102135,26729,89477,94875,97596,27261,93572,99317,102498,Iredell,249,249,249,165,300,56584,56269,54857,23087,2104,1443,171884,2104,1443,2174,2055,1051,1511,1411,883,140623,29513,181806,156060,IREDELL COUNTY,56590,37252,5797,42874,41043,42771,57450,57260,56170,20413,54265,35852,41060,41048,39453,5919,53979,54962,55025,19927,52214
TRANSYLVANIA COUNTY,2349,2349,1770,2335,2349,1558,1558,1547,1201,1558,791,791,791,788,569,7651,7323,5925,7322,7271,7130,3988,5925,5918,5868,3663,5925,7323,12998,13189,13247,13260,19810,8378,18161,18810,19304,8515,18665,19351,19924,Transylvania,0,0,0,0,12,13247,13189,12998,7651,338,209,33015,338,209,392,338,267,256,209,195,29099,10809,34385,30988,TRANSYLVANIA COUNTY,13248,3315,1149,3502,3446,3493,16030,15979,15567,7099,15012,3208,3364,3359,3317,1163,15284,15668,15684,7020,14744
MARTIN COUNTY,321,321,198,319,321,169,169,168,105,169,152,152,152,151,93,2978,3113,2392,3111,3098,3051,1667,2392,2389,2373,1283,2392,3113,5472,5535,5551,5557,11800,4109,10395,10838,11073,4313,11088,11587,11873,Martin,48,48,48,28,52,5503,5487,5424,2950,194,136,21211,194,136,247,194,137,176,136,115,17917,5372,22440,19455,MARTIN COUNTY,5505,2496,580,2707,2645,2707,8919,8899,8748,3596,8398,2346,2539,2539,2486,546,8216,8349,8358,3448,7913
WARREN COUNTY,764,764,443,754,764,464,464,455,254,464,300,300,300,299,189,3316,4111,2530,4111,4075,4015,2024,2530,2528,2491,1292,2530,4111,6506,6603,6641,6664,11626,3918,10254,10706,10993,4016,10769,11297,11680,Warren,0,0,0,0,23,6641,6603,6506,3316,157,116,18843,157,116,167,157,104,122,116,85,16200,5173,19731,17477,WARREN COUNTY,6641,2394,522,2655,2607,2654,8858,8815,8533,3390,8218,2331,2575,2574,2525,544,8065,8283,8296,3289,7807
JONES COUNTY,242,242,147,240,242,194,194,192,110,194,48,48,48,48,37,1547,1836,989,1836,1825,1792,1014,989,989,974,519,989,1836,2816,2864,2875,2925,5733,1966,4940,5147,5304,2100,5374,5632,5777,Jones,50,50,50,14,100,2825,2814,2766,1533,554,356,8956,554,356,581,528,156,415,356,73,7704,2257,9419,8314,JONES COUNTY,2825,1191,254,1293,1274,1292,3903,3887,3804,1690,3655,1076,1174,1174,1149,240,3642,3711,3715,1653,3508
DAVIE COUNTY,2055,2055,1305,2023,2055,908,908,890,599,908,1147,1147,1147,1133,706,7515,6333,9130,6332,6248,6068,3153,9130,9099,8889,4352,9130,6333,14967,15357,15472,15520,25913,8499,22934,24233,24993,8701,23889,25228,26069,Davie,10,10,10,10,57,15462,15347,14957,7505,464,257,40760,464,257,526,464,220,327,257,170,33901,9279,42846,37262,DAVIE COUNTY,15463,7263,1785,8108,7896,8098,17435,17351,16868,6696,16162,7005,7830,7828,7617,1769,16359,16795,16836,6560,15672
CUMBERLAND COUNTY,5915,5916,3153,5795,5916,1851,1850,1817,1071,1851,4065,4065,4065,3978,2082,33309,30806,45665,30798,30560,29893,14163,45661,45425,44157,17166,45665,30806,90489,92653,93161,93212,234905,38574,188213,199272,204943,41737,216052,228401,235464,Cumberland,16702,16668,16439,1980,16741,76459,75985,74050,31329,91274,69458,310252,90253,68851,91361,87841,8312,69521,66976,5907,252655,40937,335509,277878,CUMBERLAND COUNTY,76471,52789,7001,61643,58786,61546,82460,82085,79362,26424,75422,50222,58498,58471,55874,6891,74547,76810,76924,25776,71015
MCDOWELL COUNTY,1185,1185,724,1172,1185,1045,1045,1033,646,1045,140,140,140,139,78,5751,8486,3446,8481,8423,8265,3918,3446,3441,3413,1833,3446,8486,11678,11864,11927,11959,25390,8265,22601,23559,23990,8621,23930,24973,25508,Mcdowell,0,0,0,0,27,11927,11864,11678,5751,574,339,43474,574,339,640,574,307,380,339,218,36617,9517,45756,39943,MCDOWELL COUNTY,11932,3307,681,3485,3449,3484,21383,21332,20950,7633,20049,2967,3117,3117,3089,604,20131,20474,20493,7443,19295
