county1,At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
HERTFORD COUNTY,3242,6388,6479,6472,6495,4384,4380,4358,2313,2095,2092,2030,929,2096,4386,12234,11405,Hertford,0,0,0,0,13,43,12,22610,4129,10757,11240,11445,4327,11491,12039,12311,43,12,97,43,29,41,12,12,19299,4836,23677,20898,3106,681,3590,3496,3585,8624,8606,8500,3617,8342,2897,3314,3314,3239,670,7989,8079,8090,3447,7848
ROCKINGHAM COUNTY,14108,26331,26679,26621,26703,11242,11207,11076,6415,15332,15309,15150,7630,15335,11245,49215,46742,Rockingham,105,105,105,63,123,580,362,86406,16695,44139,45913,46805,17137,46394,48284,49359,580,362,627,580,360,402,362,277,72695,18996,91010,79246,14300,2956,15505,15127,15495,33227,33140,32577,13821,31514,13553,14684,14684,14340,2917,31211,31696,31719,13501,30224
CARTERET COUNTY,13959,25192,25660,25586,25667,7963,7928,7845,4698,16529,16490,16235,8912,16531,7964,48676,45309,Carteret,1168,1168,1112,349,1172,7042,5259,66672,17024,42626,44498,45344,17773,45667,47736,48824,6878,5163,7135,6401,1538,5280,4788,1021,57537,17867,69473,62070,12085,2567,13535,13137,13530,28154,28104,27721,13668,27181,11670,13044,13042,12676,2646,26659,27008,27020,13357,26168
MECKLENBURG COUNTY,116761,403252,423094,418908,423229,148636,146855,141106,38967,272672,270267,260370,77155,272677,148700,753519,710843,Mecklenburg,1786,1786,1776,639,1852,9851,5911,1037049,123871,632189,679867,711793,127707,668550,719117,757295,9818,5898,9945,9693,3221,5966,5816,2291,852079,127686,1110356,937616,229485,24611,269483,255452,268762,477867,474906,453847,99875,429372,221012,259772,259708,246465,24479,427504,445224,446055,97101,405361
SWAIN COUNTY,2101,4388,4663,4609,4674,2119,2108,2077,1217,1241,1241,1209,551,1241,2119,9567,8287,Swain,1303,1260,1102,333,1314,4063,3059,13403,2532,7293,7854,8321,2677,8406,9069,9665,3671,2723,4152,3213,524,3089,2348,430,11137,2803,14271,12138,1231,252,1334,1321,1333,4179,4171,4077,1901,3962,1103,1199,1198,1186,233,3945,4030,4033,1869,3842
AVERY COUNTY,2814,5619,5703,5686,5705,3828,3811,3770,1835,1875,1875,1849,979,1875,3830,10071,9489,Avery,,,,,,133,72,16905,3577,9140,9378,9527,3769,9708,9941,10152,133,72,191,133,95,105,72,51,14969,4020,17557,15935,1515,318,1658,1647,1658,8303,8280,8161,3356,8060,1417,1550,1550,1544,309,7762,7867,7872,3217,7651
VANCE COUNTY,6192,13174,13617,13527,13631,7863,7782,7542,3599,5706,5697,5584,2567,5706,7864,28357,26070,Vance,48,48,48,26,61,457,316,41780,8011,23746,25348,26124,8226,25539,27399,28504,457,316,496,457,244,344,316,204,34092,8487,44535,37671,7116,1232,7839,7699,7833,20169,20067,19243,6750,17966,6777,7447,7444,7330,1248,17702,18310,18333,6559,16653
HALIFAX COUNTY,7009,14102,14315,14294,14344,11314,11297,11165,5788,2979,2975,2915,1210,2979,11316,28933,26992,Halifax,22,22,22,11,49,549,354,47245,9538,25441,26556,27047,9862,27042,28346,29008,549,354,586,549,295,391,354,217,39391,10690,50010,43237,4972,965,5513,5411,5512,22909,22872,22386,8602,21521,4623,5118,5118,5036,914,21166,21520,21538,8407,20464
NASH COUNTY,13899,29697,30391,30286,30428,16055,16006,15793,7668,14191,14135,13759,6158,14192,16058,57868,54656,Nash,145,145,145,73,178,949,611,89023,16430,50626,53433,54748,16904,53348,56383,58012,949,611,1009,938,494,681,611,374,73765,17956,94298,81106,17557,3326,20297,19534,20281,36706,36638,35900,13084,34853,16924,19439,19438,18798,3311,34024,34607,34628,12745,33091
RUTHERFORD COUNTY,8019,15073,15334,15286,15366,10774,10732,10593,5764,4549,4543,4469,2244,4549,10778,30306,28405,Rutherford,11,11,11,11,39,680,538,63605,10739,26938,27991,28473,11219,28689,29818,30422,680,538,756,680,489,589,538,432,53422,14855,67029,58398,5551,1484,6046,5937,6041,23620,23585,23201,9246,22458,5378,5839,5836,5748,1459,21705,22031,22045,8848,21022
ASHE COUNTY,4810,9247,9458,9399,9468,5690,5632,5530,2828,3768,3767,3717,1982,3768,5690,16049,15038,Ashe,0,0,0,0,10,156,80,26129,5785,14191,14715,15119,6115,15111,15682,16182,156,80,233,156,111,146,80,69,22479,7249,27203,24214,3222,849,3466,3443,3465,12483,12428,12083,5155,11733,3088,3317,3317,3298,874,11337,11641,11656,4842,11023
STOKES COUNTY,6204,12120,12324,12292,12340,5704,5679,5609,3190,6594,6587,6485,2988,6594,5704,22930,21690,Stokes,26,26,26,26,42,275,145,43536,8036,20602,21336,21782,8349,21726,22529,23040,275,145,357,275,178,222,145,125,37145,9917,45591,40306,7368,1778,7943,7821,7938,14740,14717,14433,6393,14083,6948,7486,7486,7381,1686,13810,14059,14074,6225,13509
GRAHAM COUNTY,1127,1995,2019,2014,2057,1053,1048,1033,573,868,868,864,531,868,1054,4272,3906,Graham,98,98,98,23,135,424,306,8040,1559,3739,3854,3938,1632,4074,4206,4305,405,294,455,362,62,336,255,37,6767,2067,8441,7414,896,172,908,908,908,2942,2940,2893,1398,2816,808,822,822,821,162,2739,2778,2780,1360,2676
PENDER COUNTY,7948,17083,17583,17465,17640,8012,7948,7815,3882,9390,9336,9087,4001,9391,8015,34851,32604,Pender,181,181,181,65,234,1487,944,59482,9677,29899,31643,32722,10073,31922,33810,35007,1453,926,1522,1324,403,1011,842,286,49058,11716,63060,53967,9480,1528,10891,10460,10877,22594,22487,21897,8142,21118,8857,10200,10200,9812,1469,20905,21460,21511,7922,20200
CRAVEN COUNTY,17542,33331,34339,34155,34370,17931,17758,17174,9969,15234,15223,14983,7383,15234,17934,68391,64479,Craven,1174,1174,1174,190,1202,10047,8521,95778,20393,59859,62906,64548,20882,63200,66563,68636,9959,8466,10103,9800,1081,8541,8348,784,80387,20103,102139,87409,15323,2826,16752,16417,16749,41781,41595,40187,16975,38077,14661,15950,15948,15640,2850,38800,40010,40057,16759,36850
GUILFORD COUNTY,75208,192122,199772,198218,199827,57877,57366,55610,22753,140963,139920,135580,52046,140968,57894,351618,334064,Guilford,932,932,932,409,965,5628,3418,505896,81606,301850,322104,334365,83773,316882,338441,353126,5610,3418,5679,5547,2255,3447,3380,1624,418240,83442,537174,459608,98916,16321,117173,110283,116826,230274,229164,222548,65197,212419,95638,113274,113264,106896,16171,211790,217382,217644,63811,202832
MADISON COUNTY,3250,6692,6845,6815,6846,5875,5852,5754,2916,970,963,938,334,970,5876,12839,12350,Madison,,,,,,220,119,20741,4579,11683,12100,12382,4650,12113,12563,12898,220,119,235,220,109,138,119,86,17939,5034,21755,19327,1251,279,1404,1382,1401,11259,11218,10961,4262,10642,1185,1327,1327,1307,260,10674,10904,10917,4233,10379
CHATHAM COUNTY,15612,32286,33869,33360,33910,11202,10898,10499,5569,21961,21756,21128,9969,21962,11212,47655,44265,Chatham,706,706,659,74,736,5024,3274,70897,13940,39683,42442,44410,14593,42604,45631,47999,4897,3210,5059,4390,839,3291,2859,436,59661,18634,74470,65198,12299,2575,14041,13374,13988,28899,28643,27360,11179,25915,11794,13535,13517,12864,2574,26368,27474,27584,10930,25030
PITT COUNTY,19240,49554,51412,50966,51486,19230,18932,18351,6009,31822,31674,30843,13098,31824,19238,103981,97961,Pitt,360,360,360,133,424,2258,1403,170444,23134,89391,94831,98119,23724,94606,100489,104452,2258,1403,2314,2231,798,1461,1392,579,142466,25045,180742,155511,28241,3715,32811,31417,32778,69327,68945,66814,19211,64134,26409,30743,30739,29442,3586,63986,65819,65915,18969,61590
MOORE COUNTY,21297,38882,40030,39683,40059,15802,15534,15206,8543,23514,23435,23029,12649,23514,15804,63190,59054,Moore,714,714,647,105,741,4982,3318,94937,23078,55407,57907,59213,23908,59017,61825,63615,4819,3248,5084,4289,935,3358,2873,641,79328,24192,100880,86466,15217,3580,17281,16536,17266,41250,40942,40470,19393,39511,14492,16427,16422,15735,3546,38924,39314,39428,18891,38042
FORSYTH COUNTY,53710,135963,142166,140656,142224,49824,48889,46935,19763,91640,91065,88326,33605,91642,49833,255711,240141,Forsyth,702,702,702,342,749,4230,2515,359934,60442,216534,231200,240640,62442,229724,245458,257268,4230,2515,4280,4197,1806,2546,2488,1318,295401,62720,382295,325690,68144,11443,77461,74505,77333,175527,174148,166723,49193,157383,66004,74970,74964,72297,11550,156388,162662,163124,47574,148042
IREDELL COUNTY,23081,55041,56789,56485,56844,17124,17036,16653,7942,39424,39208,38147,14981,39424,17129,102085,97384,Iredell,241,241,241,158,291,2093,1433,171884,26570,89332,94793,97512,27100,93407,99223,102420,2093,1433,2163,2047,1048,1500,1404,879,140623,29513,181806,156060,37122,5705,42782,40942,42691,57475,57301,56188,20347,54238,35733,40963,40955,39350,5832,54010,54996,55049,19859,52195
TRANSYLVANIA COUNTY,7598,12975,13223,13172,13235,7311,7267,7121,3953,5912,5905,5854,3645,5912,7312,19787,19196,Transylvania,0,0,0,0,11,337,208,33015,8330,18116,18772,19261,8472,18638,19331,19884,337,208,391,337,267,255,208,194,29099,10809,34385,30988,3305,1143,3494,3438,3485,15999,15965,15556,7062,14996,3201,3360,3355,3312,1158,15252,15633,15646,6978,14707
MARTIN COUNTY,2961,5455,5530,5518,5536,3094,3085,3038,1656,2389,2386,2370,1278,2389,3096,11770,11002,Martin,47,47,47,27,51,194,136,21211,4085,10366,10814,11049,4271,11048,11554,11839,194,136,246,194,137,174,136,115,17917,5372,22440,19455,2490,578,2704,2640,2704,8889,8872,8720,3556,8364,2337,2531,2531,2477,543,8201,8335,8344,3427,7893
WARREN COUNTY,3296,6507,6630,6604,6654,4108,4084,4026,2016,2522,2520,2481,1280,2522,4108,11604,10962,Warren,0,0,0,0,24,156,116,18843,3902,10234,10689,10980,3994,10750,11276,11649,156,116,166,156,104,122,116,85,16200,5173,19731,17477,2388,518,2658,2610,2657,8825,8791,8510,3372,8206,2321,2573,2573,2524,541,8049,8273,8285,3276,7797
JONES COUNTY,1538,2809,2866,2857,2914,1827,1818,1785,1008,988,988,973,516,988,1827,5722,5239,Jones,51,51,51,14,99,551,355,8956,1959,4938,5145,5301,2093,5363,5622,5762,551,355,578,525,155,414,355,73,7704,2257,9419,8314,1185,250,1287,1267,1286,3897,3885,3804,1688,3653,1073,1171,1171,1146,235,3644,3713,3716,1651,3510
DAVIE COUNTY,7451,14945,15445,15341,15493,6327,6253,6072,3131,9108,9078,8863,4310,9108,6328,25866,24823,Davie,10,10,10,10,57,464,257,40760,8429,22866,24168,24929,8637,23829,25175,26012,464,257,526,464,220,326,257,170,33901,9279,42846,37262,7243,1768,8092,7877,8083,17394,17319,16834,6649,16122,6979,7807,7805,7589,1748,16322,16761,16796,6511,15630
CUMBERLAND COUNTY,32809,89913,92535,92090,92575,30402,30189,29519,13842,45590,45383,44095,17015,45594,30410,234208,204020,Cumberland,16543,16518,16299,1952,16571,91064,69248,310252,38165,187515,198567,204193,41302,215329,227676,234667,90070,68680,91115,87669,8268,69302,66815,5878,252655,40937,335509,277878,52578,6892,61472,58591,61388,82080,81756,79015,26142,75082,50006,58293,58274,55661,6779,74226,76498,76598,25508,70694
MCDOWELL COUNTY,5758,11715,11955,11900,11986,8515,8465,8309,3932,3440,3435,3406,1826,3440,8519,25423,23977,Mcdowell,0,0,0,0,27,564,339,43474,8272,22632,23604,24030,8608,23943,24998,25529,564,339,624,564,297,380,339,218,36617,9517,45756,39943,3299,674,3478,3441,3477,21427,21382,20993,7637,20080,2962,3114,3114,3084,599,20181,20524,20536,7455,19331
CHEROKEE COUNTY,4671,7360,7419,7410,7460,5024,5015,4970,3272,2292,2292,2287,1344,2292,5027,14025,13161,Cherokee,103,103,103,55,141,613,439,27420,6485,12777,13056,13276,6732,13604,13904,14144,613,439,716,613,234,541,439,185,23877,8723,28612,25640,2889,911,2911,2908,2911,10517,10501,10383,5587,10102,2605,2622,2622,2622,850,9995,10100,10113,5450,9733
CHOWAN COUNTY,2711,4684,4752,4746,4771,3079,3073,3037,1820,1673,1673,1647,891,1673,3083,8734,7889,Chowan,0,0,0,0,15,164,66,13243,3191,7463,7791,7950,3522,8269,8616,8828,164,66,245,164,57,125,66,10,11164,3521,13943,12171,1727,423,1834,1829,1834,6749,6736,6623,3042,6378,1676,1777,1777,1774,454,5951,6046,6048,2727,5721
ORANGE COUNTY,26446,82298,89542,86949,89590,41079,39037,36322,10895,48410,47859,45923,15521,48412,41098,117857,114316,Orange,53,53,53,30,80,1372,856,142010,23941,99148,107340,115261,24250,102045,110450,119816,1372,856,1463,1372,444,937,856,350,119925,21654,148476,130842,23443,3336,26530,25490,26376,91823,90109,83588,20470,77230,23343,26446,26367,25400,3456,81084,87093,87878,20135,74949
ALEXANDER COUNTY,4349,8988,9169,9132,9204,6308,6275,6182,2990,2851,2847,2796,1359,2851,6308,17774,16803,Alexander,10,10,10,0,45,389,201,35620,5884,16007,16554,16906,6139,16936,17514,17898,389,201,493,389,160,299,201,74,30040,7667,37497,32781,2796,408,3053,2994,3051,14352,14334,14131,5571,13751,2612,2857,2857,2795,388,13558,13745,13750,5422,13194
DURHAM COUNTY,44773,156615,165432,162219,165485,83133,80877,77639,19979,81823,80866,78500,24617,81823,83139,243442,231371,Durham,476,476,476,177,523,8136,5468,301307,43626,207082,220343,233016,44841,217486,231401,247315,8111,5455,8201,8041,2088,5516,5412,1554,255829,43764,321488,275950,53616,6325,61245,58344,60931,177869,174375,164946,36428,155829,52246,59634,59549,56903,6311,157985,166354,167866,35761,149424
HENDERSON COUNTY,23931,44191,45445,45149,45501,27790,27552,26881,14563,17615,17557,17270,9343,17615,27815,72722,69754,Henderson,40,40,40,25,71,1710,995,111764,27403,64963,67954,69869,27969,67616,70774,73014,1710,995,1758,1710,1035,1065,995,768,95451,30961,117417,103234,13855,4165,15097,14696,15083,56159,55929,54368,22769,52051,13285,14487,14481,14112,4126,52847,54278,54317,22509,50683
PASQUOTANK COUNTY,5220,10839,11094,11046,11111,6564,6518,6361,3045,4530,4528,4478,2175,4530,6566,23168,21198,Pasquotank,0,0,0,0,15,36,0,37393,6866,19765,20673,21234,7429,21580,22563,23246,36,0,52,36,24,21,0,0,31068,6841,39824,34029,5491,1042,5811,5731,5808,17383,17324,16796,6363,16053,5191,5477,5476,5405,984,15268,15722,15736,5882,14574
PAMLICO COUNTY,2712,4356,4418,4403,4455,2947,2934,2891,1802,1471,1469,1465,910,1471,2947,7375,7025,Pamlico,0,0,0,0,37,179,127,12261,3317,6775,6944,7073,3396,7083,7276,7441,179,127,237,179,91,174,127,74,10805,3866,12726,11540,1222,298,1320,1297,1320,5884,5876,5800,3007,5682,1159,1242,1242,1223,296,5594,5656,5657,2947,5489
MITCHELL COUNTY,1883,3844,3915,3905,3915,3104,3094,3054,1494,811,811,790,389,811,3104,7829,7282,Mitchell,,,,,,109,52,14242,2881,6972,7196,7306,3022,7475,7719,7856,109,52,124,109,77,75,52,52,12229,3810,14964,13195,1154,288,1294,1283,1294,6438,6426,6327,2657,6212,1032,1162,1162,1154,242,5990,6068,6069,2587,5888
CURRITUCK COUNTY,2760,5553,5633,5619,5668,3606,3594,3550,1805,1951,1949,1927,955,1951,3606,13697,12204,Currituck,76,76,76,0,111,1047,650,26216,4347,11623,12017,12260,4956,13068,13492,13757,1003,623,1086,900,143,701,543,41,21675,4551,27763,23787,2091,410,2243,2197,2242,10428,10408,10292,4403,10077,1973,2117,2117,2069,404,9325,9437,9442,3902,9107
BRUNSWICK COUNTY,44073,67036,67810,67649,67862,25081,25011,24781,16705,42475,42384,42001,27256,42477,25084,94754,90425,Brunswick,254,254,254,112,301,2989,2026,137478,44510,86510,89109,90510,45682,90463,93304,94899,2989,2026,3010,2963,1717,2067,2026,1274,121795,46605,142820,129086,23487,6919,25838,25055,25824,66051,65941,65260,37046,64013,22602,24810,24808,24097,7118,62986,63591,63633,36118,61882
DAVIDSON COUNTY,21131,44245,45348,45145,45408,21889,21723,21197,10854,23178,23141,22767,10113,23178,21892,88334,82234,Davidson,281,281,281,164,338,2156,1391,158409,26088,76692,80518,82319,26862,81965,86249,88590,2144,1391,2228,2091,1048,1438,1354,759,131285,31089,167609,144432,24873,4855,26978,26456,26968,59384,59210,57649,20959,55001,23633,25555,25554,25092,4846,54035,55289,55326,20483,51705
FRANKLIN COUNTY,9373,21506,22160,22034,22242,8761,8679,8458,3736,13303,13259,12952,5600,13304,8766,40470,38113,Franklin,96,96,96,37,172,1367,825,65799,10883,34915,37032,38192,11210,36928,39232,40700,1350,825,1442,1268,484,874,773,296,54524,11935,69685,59978,12725,2133,14547,14039,14521,24711,24582,23843,8593,22935,12187,13896,13896,13449,2147,22758,23392,23422,8440,21955
DARE COUNTY,8033,15823,16119,16085,16150,7281,7256,7139,4077,8838,8829,8684,3956,8838,7284,28258,27048,Dare,0,0,0,0,28,312,113,35367,9618,25382,26459,27151,9936,26480,27614,28378,312,113,379,312,119,194,113,0,30088,8201,37009,32745,5317,707,6053,5779,6043,21946,21903,21523,9110,20851,4994,5730,5725,5466,687,20880,21210,21227,8931,20275
NEW HANOVER COUNTY,41516,93813,96777,96122,96828,36921,36644,35827,17090,59426,59048,57556,24253,59426,36936,157624,150125,New Hanover,430,430,430,173,466,3357,2117,223363,42184,138049,145606,150418,43270,144544,152671,158276,3332,2107,3421,3251,1402,2158,2053,989,191812,43147,234473,206724,45496,6709,52673,50092,52580,102182,101687,99247,35159,95797,43692,50691,50689,48265,6670,95234,97319,97569,34525,92304
BLADEN COUNTY,4516,9154,9369,9342,9407,5510,5498,5441,3114,2745,2741,2680,1247,2745,5513,24241,21145,Bladen,1114,1103,1033,155,1149,6696,4725,31131,6200,19274,20671,21182,6721,21880,23601,24331,6430,4588,6772,5547,774,4754,3959,469,26077,7459,32722,28574,4311,773,4728,4643,4727,12831,12818,12528,5174,12022,4095,4498,4498,4419,727,11664,11922,11930,5004,11220
ANSON COUNTY,2720,5860,5955,5941,5977,4478,4464,4422,2130,1467,1467,1428,590,1467,4479,12417,11571,Anson,10,10,10,0,31,170,102,23143,3828,10914,11359,11610,3971,11694,12175,12485,170,102,226,170,99,137,102,75,19608,4730,24446,21306,2731,468,3092,3048,3091,9167,9156,8957,3404,8793,2491,2825,2824,2789,421,8468,8645,8648,3332,8321
"",19188,34961,34961,34961,35836,,,,,,,,,,,0,0,"",34961,34961,34961,19188,35836,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
