county1,At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
HERTFORD COUNTY,3251,6397,6487,6480,6503,4391,4387,4366,2321,2096,2093,2031,930,2097,4393,12242,11410,Hertford,0,0,0,0,13,43,12,22610,4137,10762,11242,11451,4335,11498,12044,12320,43,12,97,43,29,41,12,12,19299,4836,23677,20898,3110,682,3593,3499,3588,8630,8611,8502,3624,8345,2899,3316,3316,3240,671,7990,8082,8094,3454,7851
ROCKINGHAM COUNTY,14129,26348,26699,26639,26723,11250,11213,11081,6420,15342,15319,15160,7644,15345,11253,49234,46755,Rockingham,107,107,107,65,125,591,363,86406,16712,44157,45926,46821,17166,46419,48303,49377,591,363,630,591,371,403,363,277,72695,18996,91010,79246,14306,2959,15508,15130,15497,33239,33146,32582,13836,31522,13562,14691,14691,14347,2919,31216,31701,31727,13516,30232
CARTERET COUNTY,13988,25223,25689,25615,25696,7975,7940,7858,4709,16538,16499,16246,8929,16540,7976,48692,45333,Carteret,1176,1176,1119,350,1180,7051,5271,66672,17046,42650,44520,45368,17797,45684,47751,48841,6886,5173,7145,6409,1545,5292,4798,1025,57537,17867,69473,62070,12087,2574,13536,13138,13531,28160,28110,27727,13678,27188,11675,13049,13047,12681,2652,26666,27015,27027,13369,26177
MECKLENBURG COUNTY,116987,403531,423375,419141,423512,148741,146926,141180,39018,272836,270417,260563,77326,272841,148805,753621,710972,Mecklenburg,1798,1798,1788,643,1866,9865,5919,1037049,124005,632443,680036,711927,127841,668804,719273,757539,9832,5906,9961,9707,3225,5974,5824,2293,852079,127686,1110356,937616,229633,24673,269586,255555,268852,477992,474904,453886,99943,429464,221190,259910,259844,246603,24545,427527,445209,446043,97167,405429
SWAIN COUNTY,2105,4400,4681,4623,4692,2121,2110,2079,1217,1246,1246,1214,554,1246,2121,9571,8292,Swain,1314,1267,1107,334,1325,4065,3063,13403,2532,7295,7859,8340,2677,8408,9072,9672,3672,2726,4158,3214,524,3107,2349,430,11137,2803,14271,12138,1232,252,1335,1322,1334,4179,4172,4078,1901,3962,1104,1200,1199,1187,233,3946,4030,4033,1869,3842
AVERY COUNTY,2815,5629,5712,5695,5714,3834,3817,3776,1835,1878,1878,1853,980,1878,3836,10075,9494,Avery,,,,,,134,72,16905,3581,9145,9381,9532,3774,9714,9945,10156,134,72,192,134,96,105,72,51,14969,4020,17557,15935,1515,318,1658,1647,1658,8306,8283,8164,3360,8065,1417,1550,1550,1544,309,7765,7872,7877,3221,7656
VANCE COUNTY,6204,13184,13634,13539,13648,7879,7794,7550,3611,5707,5697,5586,2567,5707,7880,28369,26078,Vance,48,48,48,26,61,457,316,41780,8025,23751,25354,26134,8240,25550,27410,28517,457,316,496,457,244,344,316,204,34092,8487,44535,37671,7123,1234,7841,7701,7835,20180,20077,19252,6762,17970,6780,7447,7444,7330,1251,17708,18318,18343,6570,16655
HALIFAX COUNTY,7023,14119,14337,14313,14366,11334,11314,11180,5798,2980,2976,2916,1213,2980,11336,28949,27001,Halifax,23,23,23,12,50,552,354,47245,9550,25448,26561,27057,9875,27056,28361,29032,552,354,589,552,297,391,354,217,39391,10690,50010,43237,4977,969,5515,5414,5514,22928,22883,22395,8609,21527,4625,5119,5119,5037,918,21170,21528,21547,8415,20469
NASH COUNTY,13927,29765,30462,30353,30500,16111,16062,15849,7686,14206,14146,13771,6168,14207,16114,57892,54673,Nash,145,145,145,73,179,955,612,89023,16443,50644,53450,54767,16925,53375,56408,58040,955,612,1015,944,497,682,612,375,73765,17956,94298,81106,17571,3332,20307,19544,20290,36718,36647,35909,13096,34860,16935,19445,19444,18807,3315,34031,34617,34640,12753,33097
RUTHERFORD COUNTY,8026,15082,15343,15295,15376,10780,10738,10599,5770,4551,4545,4471,2244,4551,10784,30311,28414,Rutherford,12,12,12,12,41,681,538,63605,10745,26952,28001,28482,11226,28700,29824,30428,681,538,757,681,489,589,538,432,53422,14855,67029,58398,5556,1486,6047,5939,6042,23624,23588,23204,9251,22463,5385,5841,5838,5752,1461,21711,22038,22052,8852,21029
ASHE COUNTY,4822,9261,9473,9411,9483,5696,5635,5534,2835,3777,3776,3727,1987,3777,5696,16057,15042,Ashe,0,0,0,0,10,158,80,26129,5792,14198,14719,15126,6123,15123,15689,16191,158,80,236,158,112,146,80,69,22479,7249,27203,24214,3226,852,3467,3444,3466,12488,12433,12087,5159,11739,3091,3317,3317,3298,877,11341,11645,11663,4846,11027
STOKES COUNTY,6216,12139,12345,12311,12352,5710,5683,5613,3193,6598,6591,6489,2997,6598,5710,22937,21696,Stokes,37,37,37,26,44,275,145,43536,8045,20608,21342,21789,8357,21734,22536,23049,275,145,357,275,178,222,145,125,37145,9917,45591,40306,7372,1781,7945,7824,7940,14747,14722,14437,6398,14087,6950,7487,7487,7383,1690,13814,14064,14080,6230,13513
GRAHAM COUNTY,1130,2001,2025,2020,2063,1053,1048,1033,573,874,874,870,534,874,1054,4272,3906,Graham,98,98,98,23,135,425,307,8040,1561,3738,3853,3938,1634,4073,4205,4305,405,294,456,362,62,337,255,37,6767,2067,8441,7414,895,172,907,907,907,2942,2940,2893,1400,2816,807,821,821,820,162,2739,2778,2780,1362,2676
PENDER COUNTY,7963,17096,17598,17478,17655,8024,7957,7824,3890,9392,9339,9090,4007,9393,8027,34866,32627,Pender,182,182,182,66,235,1488,945,59482,9688,29918,31665,32751,10089,31940,33829,35025,1454,927,1523,1324,403,1012,843,286,49058,11716,63060,53967,9486,1533,10891,10462,10877,22611,22501,21913,8153,21130,8864,10204,10204,9818,1472,20920,21478,21535,7930,20211
CRAVEN COUNTY,17570,33364,34392,34191,34424,17960,17781,17193,9986,15237,15226,14987,7391,15237,17963,68423,64510,Craven,1195,1184,1184,193,1224,10052,8523,95778,20421,59889,62928,64581,20908,63229,66590,68678,9962,8467,10109,9801,1081,8543,8349,784,80387,20103,102139,87409,15337,2831,16760,16425,16756,41809,41615,40203,16996,38091,14670,15952,15950,15643,2857,38818,40037,40086,16780,36870
GUILFORD COUNTY,75373,192318,199977,198401,200032,57980,57451,55693,22810,141047,140000,135675,52145,141052,57997,351714,334181,Guilford,950,950,950,418,983,5635,3425,505896,81719,301994,322220,334490,83889,317016,338545,353274,5616,3425,5686,5552,2257,3454,3386,1627,418240,83442,537174,459608,98994,16358,117249,110361,116890,230339,229189,222568,65274,212470,95717,113346,113336,106974,16207,211821,217420,217690,63885,202891
MADISON COUNTY,3255,6695,6849,6819,6850,5878,5855,5756,2920,971,964,939,335,971,5879,12841,12354,Madison,,,,,,220,119,20741,4585,11689,12105,12386,4656,12120,12567,12904,220,119,236,220,109,138,119,86,17939,5034,21755,19327,1251,279,1404,1382,1401,11264,11220,10965,4268,10649,1185,1327,1327,1307,260,10679,10908,10921,4239,10385
CHATHAM COUNTY,15655,32349,33938,33421,33980,11235,10923,10525,5585,21990,21785,21159,9996,21991,11245,47670,44276,Chatham,713,713,665,74,744,5029,3276,70897,13955,39707,42458,44436,14610,42631,45650,48031,4900,3212,5064,4393,842,3293,2860,436,59661,18634,74470,65198,12310,2581,14047,13380,13992,28920,28649,27370,11187,25928,11803,13536,13517,12868,2581,26378,27483,27607,10938,25044
PITT COUNTY,19280,49616,51505,51041,51580,19289,18975,18379,6022,31853,31703,30874,13123,31855,19297,104042,98016,Pitt,363,363,363,135,428,2260,1405,170444,23163,89424,94879,98177,23755,94649,100546,104549,2260,1405,2317,2233,799,1464,1394,579,142466,25045,180742,155511,28265,3722,32838,31445,32803,69394,68979,66841,19234,64151,26426,30762,30758,29465,3591,64009,65853,65951,18993,61604
MOORE COUNTY,21343,38929,40081,39726,40110,15841,15567,15242,8567,23523,23442,23037,12671,23523,15843,63227,59080,Moore,717,717,650,105,744,4987,3325,94937,23109,55431,57920,59248,23945,59054,61852,63680,4823,3252,5089,4292,936,3365,2876,643,79328,24192,100880,86466,15228,3588,17287,16542,17272,41304,40968,40487,19421,39534,14500,16431,16426,15739,3552,38929,39329,39452,18914,38055
FORSYTH COUNTY,53829,136150,142379,140846,142437,49946,48993,47023,19805,91724,91144,88418,33678,91726,49955,255823,240242,Forsyth,709,709,709,346,756,4237,2518,359934,60505,216632,231292,240772,62508,229833,245556,257430,4237,2518,4287,4204,1809,2549,2491,1319,295401,62720,382295,325690,68200,11466,77500,74546,77373,175643,174213,166773,49233,157429,66057,75010,75004,72335,11573,156439,162720,163213,47613,148084
IREDELL COUNTY,23136,55096,56842,56535,56897,17140,17049,16669,7960,39455,39239,38180,15013,39455,17145,102129,97428,Iredell,247,247,247,163,297,2096,1435,171884,26608,89382,94833,97561,27142,93460,99270,102468,2096,1435,2166,2050,1050,1502,1406,880,140623,29513,181806,156060,37137,5724,42794,40958,42703,57508,57330,56216,20368,54273,35760,40990,40981,39377,5850,54021,55012,55069,19878,52216
TRANSYLVANIA COUNTY,7610,12982,13230,13177,13243,7315,7269,7125,3961,5915,5908,5857,3649,5915,7316,19794,19203,Transylvania,0,0,0,0,12,338,209,33015,8343,18124,18778,19268,8484,18647,19339,19895,338,209,392,338,267,256,209,195,29099,10809,34385,30988,3306,1146,3496,3439,3487,16007,15969,15562,7071,15003,3201,3360,3355,3312,1161,15257,15639,15652,6987,14714
MARTIN COUNTY,2967,5462,5538,5526,5544,3100,3091,3043,1661,2390,2387,2371,1278,2390,3102,11773,11005,Martin,48,48,48,28,52,194,136,21211,4089,10371,10817,11054,4274,11049,11557,11844,194,136,247,194,137,176,136,115,17917,5372,22440,19455,2491,578,2705,2642,2705,8892,8874,8721,3559,8364,2339,2533,2533,2479,543,8202,8336,8345,3431,7896
WARREN COUNTY,3310,6517,6644,6615,6668,4114,4087,4028,2020,2530,2528,2489,1290,2530,4114,11611,10973,Warren,0,0,0,0,24,156,116,18843,3912,10244,10700,10993,4004,10755,11283,11657,156,116,166,156,104,122,116,85,16200,5173,19731,17477,2390,520,2658,2610,2657,8833,8798,8517,3380,8209,2323,2574,2573,2524,543,8060,8284,8297,3284,7805
JONES COUNTY,1540,2811,2870,2860,2918,1829,1819,1785,1008,990,990,975,518,990,1829,5724,5240,Jones,51,51,51,14,99,552,355,8956,1962,4939,5146,5302,2096,5365,5624,5764,552,355,579,526,156,414,355,73,7704,2257,9419,8314,1185,251,1287,1267,1286,3898,3886,3805,1689,3654,1074,1172,1172,1147,237,3644,3713,3716,1652,3510
DAVIE COUNTY,7471,14966,15467,15364,15515,6328,6255,6072,3136,9129,9099,8884,4325,9129,6329,25873,24831,Davie,10,10,10,10,57,464,257,40760,8437,22874,24180,24941,8644,23837,25187,26021,464,257,526,464,220,327,257,170,33901,9279,42846,37262,7245,1770,8095,7881,8086,17400,17323,16842,6654,16128,6981,7811,7809,7594,1750,16329,16765,16803,6517,15636
CUMBERLAND COUNTY,32914,90086,92718,92266,92758,30469,30256,29584,13892,45632,45424,44137,17061,45636,30477,234328,204160,Cumberland,16617,16586,16365,1961,16645,91124,69316,310252,38239,187634,198692,204337,41372,215441,227797,234807,90122,68730,91176,87716,8274,69370,66862,5886,252655,40937,335509,277878,52608,6912,61502,58623,61416,82129,81788,79052,26186,75117,50039,58334,58313,55697,6801,74265,76531,76633,25552,70733
MCDOWELL COUNTY,5765,11721,11967,11908,11999,8525,8471,8313,3938,3442,3437,3408,1827,3442,8530,25426,23981,Mcdowell,0,0,0,0,27,564,339,43474,8282,22636,23609,24035,8617,23945,25003,25533,564,339,624,564,297,380,339,218,36617,9517,45756,39943,3300,674,3479,3442,3478,21430,21384,20997,7646,20081,2963,3115,3115,3085,599,20185,20527,20540,7465,19334
CHEROKEE COUNTY,4678,7365,7424,7415,7465,5024,5015,4970,3276,2297,2297,2292,1347,2297,5027,14025,13167,Cherokee,103,103,103,55,141,613,439,27420,6491,12782,13060,13283,6738,13606,13904,14144,613,439,716,613,234,541,439,185,23877,8723,28612,25640,2889,913,2911,2908,2911,10517,10501,10383,5591,10104,2607,2624,2624,2624,852,9997,10104,10118,5454,9736
CHOWAN COUNTY,2719,4693,4761,4755,4780,3086,3080,3044,1826,1675,1675,1649,893,1675,3090,8738,7891,Chowan,0,0,0,0,15,164,66,13243,3191,7463,7792,7952,3524,8274,8621,8832,164,66,245,164,57,125,66,10,11164,3521,13943,12171,1728,422,1835,1830,1835,6752,6739,6627,3045,6382,1676,1777,1777,1774,453,5952,6048,6050,2728,5721
ORANGE COUNTY,26519,82439,89747,87084,89796,41259,39149,36430,10937,48435,47882,45956,15552,48437,41279,117894,114379,Orange,53,53,53,30,80,1373,857,142010,23971,99175,107370,115371,24282,102075,110479,119898,1373,857,1464,1373,444,938,857,351,119925,21654,148476,130842,23453,3346,26534,25497,26380,91900,90141,83609,20492,77249,23354,26455,26375,25406,3466,81107,87147,87978,20154,74964
ALEXANDER COUNTY,4358,9003,9182,9146,9218,6315,6283,6191,2995,2856,2852,2801,1363,2856,6315,17778,16809,Alexander,11,11,11,0,47,390,203,35620,5892,16014,16560,16912,6147,16942,17518,17903,390,203,494,390,160,301,203,74,30040,7667,37497,32781,2798,409,3053,2994,3051,14356,14337,14134,5578,13754,2614,2858,2858,2796,389,13561,13748,13753,5429,13197
DURHAM COUNTY,44868,156767,165666,162374,165719,83285,80959,77711,20014,81896,80930,78571,24669,81896,83291,243556,231494,Durham,485,485,485,185,532,8147,5474,301307,43685,207183,220441,233191,44904,217586,231501,247525,8122,5461,8212,8051,2092,5523,5418,1557,255829,43764,321488,275950,53652,6334,61272,58375,60956,178041,174453,165004,36478,155883,52279,59670,59585,56936,6319,158044,166435,167998,35809,149486
HENDERSON COUNTY,23957,44209,45467,45166,45523,27790,27548,26877,14559,17637,17578,17292,9373,17637,27815,72735,69765,Henderson,40,40,40,25,71,1712,996,111764,27429,64979,67966,69884,27997,67632,70787,73034,1712,996,1760,1712,1037,1067,996,768,95451,30961,117417,103234,13857,4168,15098,14699,15084,56176,55939,54376,22792,52063,13291,14493,14486,14118,4130,52852,54283,54324,22531,50692
PASQUOTANK COUNTY,5231,10847,11106,11057,11123,6572,6525,6365,3052,4534,4532,4482,2179,4534,6574,23178,21212,Pasquotank,0,0,0,0,15,36,0,37393,6875,19776,20685,21248,7438,21590,22569,23260,36,0,52,36,24,21,0,0,31068,6841,39824,34029,5498,1044,5815,5735,5812,17393,17330,16798,6370,16056,5197,5483,5482,5411,985,15274,15730,15744,5890,14579
PAMLICO COUNTY,2718,4360,4422,4407,4460,2949,2936,2893,1804,1473,1471,1467,914,1473,2949,7374,7024,Pamlico,0,0,0,0,38,179,127,12261,3320,6774,6942,7073,3399,7083,7275,7440,179,127,237,179,91,174,127,74,10805,3866,12726,11540,1223,299,1321,1298,1321,5882,5874,5798,3009,5681,1159,1242,1242,1223,297,5592,5655,5657,2949,5488
MITCHELL COUNTY,1887,3850,3921,3911,3921,3110,3100,3060,1497,811,811,790,390,811,3110,7830,7282,Mitchell,,,,,,109,52,14242,2882,6972,7196,7306,3025,7476,7720,7858,109,52,124,109,77,75,52,52,12229,3810,14964,13195,1154,288,1294,1283,1294,6440,6427,6328,2660,6213,1032,1162,1162,1154,242,5990,6068,6069,2588,5888
CURRITUCK COUNTY,2761,5557,5636,5622,5673,3606,3594,3551,1806,1954,1952,1930,955,1954,3606,13697,12206,Currituck,76,76,76,0,113,1047,651,26216,4352,11626,12020,12263,4961,13070,13494,13757,1003,623,1086,900,143,702,543,41,21675,4551,27763,23787,2091,411,2243,2197,2242,10428,10408,10294,4407,10079,1974,2118,2118,2070,405,9327,9437,9443,3906,9109
BRUNSWICK COUNTY,44156,67089,67861,67699,67913,25087,25018,24790,16727,42520,42427,42045,27317,42522,25090,94778,90441,Brunswick,254,254,254,112,301,2991,2026,137478,44563,86536,89127,90532,45735,90497,93329,94924,2991,2026,3012,2965,1717,2067,2026,1274,121795,46605,142820,129086,23502,6936,25850,25068,25837,66062,65950,65270,37082,64030,22613,24817,24815,24105,7135,62996,63600,63648,36154,61897
DAVIDSON COUNTY,21180,44302,45406,45202,45466,21906,21740,21213,10868,23217,23179,22806,10146,23217,21909,88393,82289,Davidson,283,283,283,166,340,2161,1392,158409,26123,76739,80568,82380,26895,82018,86305,88655,2149,1392,2233,2096,1051,1439,1355,759,131285,31089,167609,144432,24897,4862,26998,26475,26986,59424,59246,57681,20982,55025,23652,25566,25565,25106,4854,54070,55332,55375,20510,51732
FRANKLIN COUNTY,9392,21531,22188,22057,22270,8773,8687,8467,3742,13318,13273,12967,5613,13319,8778,40490,38125,Franklin,97,97,97,37,173,1372,829,65799,10902,34932,37046,38204,11231,36951,39253,40729,1354,829,1447,1272,486,878,777,298,54524,11935,69685,59978,12730,2139,14552,14043,14524,24730,24594,23856,8606,22949,12188,13897,13897,13450,2152,22767,23399,23429,8452,21967
DARE COUNTY,8045,15834,16127,16093,16158,7282,7257,7140,4080,8845,8836,8694,3965,8845,7285,28262,27055,Dare,0,0,0,0,28,312,114,35367,9631,25395,26467,27160,9950,26491,27618,28384,312,114,381,312,119,195,114,0,30088,8201,37009,32745,5322,711,6056,5782,6047,21947,21903,21524,9120,20857,5000,5735,5730,5471,690,20882,21211,21230,8941,20281
NEW HANOVER COUNTY,41601,93894,96861,96197,96912,36968,36686,35870,17136,59462,59080,57593,24292,59462,36983,157713,150197,New Hanover,431,431,431,173,467,3361,2122,223363,42246,138123,145687,150502,43345,144641,152775,158381,3336,2112,3425,3255,1403,2163,2058,994,191812,43147,234473,206724,45518,6722,52687,50117,52594,102269,101758,99322,35220,95868,43715,50713,50711,48292,6682,95283,97364,97626,34570,92350
BLADEN COUNTY,4526,9170,9392,9363,9430,5521,5509,5451,3120,2746,2742,2681,1248,2746,5524,24262,21157,Bladen,1125,1112,1038,158,1160,6709,4737,31131,6208,19282,20681,21194,6729,21899,23621,24353,6440,4597,6785,5556,777,4766,3965,472,26077,7459,32722,28574,4314,773,4731,4646,4730,12837,12823,12535,5179,12029,4095,4498,4498,4419,727,11665,11922,11930,5009,11222
ANSON COUNTY,2724,5864,5958,5944,5980,4478,4464,4422,2131,1470,1470,1432,593,1470,4479,12418,11576,Anson,10,10,10,0,31,171,102,23143,3830,10919,11362,11615,3974,11699,12177,12486,171,102,227,171,99,137,102,75,19608,4730,24446,21306,2737,469,3094,3050,3093,9165,9154,8956,3406,8791,2495,2826,2825,2790,421,8470,8649,8652,3334,8322
"",19189,34966,34966,34966,35838,,,,,,,,,,,0,0,"",34966,34966,34966,19189,35838,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
