At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus,county1
3226,6344,6434,6427,6450,4351,4347,4324,2303,2083,2080,2020,923,2084,4353,12224,11396,Hertford,0,0,0,0,13,42,12,22610,4120,10749,11230,11436,4316,11483,12028,12299,42,12,95,42,28,41,12,12,19299,4836,23677,20898,3102,680,3585,3491,3580,8619,8602,8495,3608,8339,2893,3310,3310,3235,669,7983,8074,8085,3439,7844,HERTFORD COUNTY
14026,26223,26549,26504,26572,11190,11166,11041,6384,15258,15237,15081,7581,15261,11193,49178,46717,Rockingham,101,101,101,61,118,576,360,86406,16653,44114,45893,46778,17089,46362,48252,49308,576,360,623,576,357,400,360,276,72695,18996,91010,79246,14276,2941,15482,15103,15474,33203,33128,32573,13791,31510,13538,14670,14670,14325,2907,31208,31687,31708,13470,30216,ROCKINGHAM COUNTY
13892,25094,25552,25481,25559,7931,7897,7820,4680,16469,16432,16177,8868,16471,7932,48642,45281,Carteret,1152,1152,1097,344,1156,7027,5237,66672,16979,42598,44475,45313,17718,45633,47709,48777,6867,5148,7120,6391,1532,5258,4777,1016,57537,17867,69473,62070,12077,2554,13533,13136,13530,28124,28085,27706,13632,27165,11664,13044,13042,12676,2640,26651,27002,27011,13323,26157,CARTERET COUNTY
116069,401675,421045,417277,421179,148175,146572,140828,38845,271123,268958,259110,76599,271128,148238,753300,710563,Mecklenburg,1747,1747,1737,625,1813,9809,5892,1037049,123661,631746,679591,711371,127493,668104,718840,756744,9776,5879,9903,9651,3206,5947,5798,2276,852079,127686,1110356,937616,229149,24484,269069,255140,268424,477772,475067,453924,99803,429304,220642,259375,259342,246136,24360,427576,445329,446049,97025,405306,MECKLENBURG COUNTY
2085,4350,4600,4563,4611,2118,2108,2077,1215,1225,1225,1193,542,1225,2118,9549,8277,Swain,1257,1230,1080,328,1268,4045,3047,13403,2527,7287,7847,8311,2667,8394,9054,9633,3656,2714,4122,3199,521,3077,2339,430,11137,2803,14271,12138,1232,251,1334,1322,1334,4177,4170,4076,1895,3963,1104,1200,1199,1187,232,3946,4031,4034,1865,3844,SWAIN COUNTY
2802,5599,5683,5666,5685,3816,3799,3758,1829,1867,1867,1841,973,1867,3818,10066,9480,Avery,,,,,,133,72,16905,3569,9132,9368,9518,3759,9704,9935,10146,133,72,191,133,95,105,72,51,14969,4020,17557,15935,1514,314,1657,1646,1657,8298,8276,8156,3350,8057,1415,1548,1548,1542,306,7754,7860,7865,3212,7645,AVERY COUNTY
6148,13077,13490,13417,13504,7777,7711,7485,3579,5667,5660,5546,2543,5667,7778,28282,26017,Vance,46,46,46,26,59,453,314,41780,7980,23699,25307,26071,8188,25486,27340,28420,453,314,492,453,240,342,314,203,34092,8487,44535,37671,7102,1224,7833,7691,7826,20095,20003,19196,6724,17931,6766,7435,7432,7323,1240,17670,18271,18294,6537,16619,VANCE COUNTY
6972,14043,14237,14224,14266,11254,11244,11123,5757,2962,2959,2899,1204,2962,11256,28901,26949,Halifax,21,21,21,11,48,547,341,47245,9512,25403,26522,27010,9852,27006,28318,28969,547,341,582,547,293,386,341,205,39391,10690,50010,43237,4957,964,5501,5399,5501,22886,22853,22372,8595,21502,4616,5113,5113,5030,913,21151,21495,21511,8394,20446,HALIFAX COUNTY
13805,29537,30202,30116,30239,15952,15916,15714,7613,14110,14060,13683,6122,14111,15955,57817,54589,Nash,140,140,140,70,173,944,610,89023,16392,50561,53369,54680,16866,53295,56339,57947,944,610,1004,933,491,679,610,373,73765,17956,94298,81106,17518,3311,20262,19502,20248,36681,36625,35893,13064,34844,16890,19409,19408,18766,3295,33993,34571,34592,12724,33061,NASH COUNTY
7984,15024,15277,15233,15309,10740,10702,10568,5746,4527,4521,4446,2228,4527,10744,30286,28383,Rutherford,10,10,10,10,38,678,538,63605,10715,26916,27969,28450,11194,28664,29798,30400,678,538,753,678,488,588,538,432,53422,14855,67029,58398,5543,1477,6038,5930,6034,23609,23574,23190,9229,22443,5373,5832,5829,5741,1452,21690,22016,22030,8831,21005,RUTHERFORD COUNTY
4792,9208,9417,9361,9417,5669,5614,5512,2824,3748,3747,3696,1968,3748,5669,16036,15024,Ashe,,,,,,153,80,26129,5766,14179,14702,15103,6094,15099,15671,16168,153,80,230,153,110,146,80,69,22479,7249,27203,24214,3217,845,3465,3442,3464,12473,12419,12076,5139,11729,3084,3317,3317,3298,869,11324,11627,11640,4828,11015,ASHE COUNTY
6165,12056,12253,12225,12268,5685,5665,5596,3179,6545,6537,6437,2963,6545,5685,22905,21665,Stokes,23,23,23,23,38,271,145,43536,8015,20570,21313,21756,8330,21694,22507,23013,271,145,353,271,176,221,145,125,37145,9917,45591,40306,7364,1774,7942,7819,7936,14718,14698,14417,6380,14059,6938,7477,7477,7373,1678,13795,14043,14058,6212,13487,STOKES COUNTY
1122,1985,2006,2004,2042,1045,1043,1028,572,864,864,860,527,864,1046,4266,3903,Graham,97,97,97,23,132,423,305,8040,1558,3737,3852,3935,1630,4073,4204,4298,404,293,453,361,62,335,254,37,6767,2067,8441,7414,895,172,907,907,907,2938,2936,2893,1396,2817,806,820,820,819,162,2740,2778,2780,1359,2677,GRAHAM COUNTY
7890,17001,17491,17385,17545,7964,7911,7779,3861,9349,9296,9044,3965,9350,7967,34824,32584,Pender,178,178,178,64,228,1485,943,59482,9652,29882,31619,32687,10046,31897,33780,34971,1453,925,1520,1324,403,1009,841,286,49058,11716,63060,53967,9472,1520,10882,10449,10869,22569,22470,21878,8123,21101,8849,10191,10191,9799,1462,20895,21450,21487,7904,20192,PENDER COUNTY
17456,33188,34137,33975,34166,17803,17651,17105,9926,15171,15161,14920,7341,15171,17806,68314,64388,Craven,1163,1163,1163,189,1189,10030,8499,95778,20339,59781,62825,64449,20826,63142,66503,68537,9948,8447,10084,9792,1077,8519,8330,782,80387,20103,102139,87409,15295,2814,16734,16397,16731,41719,41553,40158,16935,38055,14628,15925,15923,15614,2838,38764,39966,40005,16719,36823,CRAVEN COUNTY
74669,191046,198414,197059,198466,57375,56942,55238,22556,140133,139211,134902,51715,140138,57391,351257,333639,Guilford,906,906,906,398,937,5596,3399,505896,81421,301448,321707,333914,83582,316529,338097,352608,5579,3399,5646,5517,2239,3427,3362,1618,418240,83442,537174,459608,98747,16264,116968,110112,116659,229994,229002,222406,65079,212265,95429,113045,113036,106674,16111,211634,217204,217442,63692,202657,GUILFORD COUNTY
3240,6682,6830,6802,6831,5867,5845,5749,2906,963,957,933,334,963,5868,12834,12347,Madison,,,,,,218,119,20741,4568,11677,12096,12377,4637,12105,12559,12892,218,119,233,218,108,138,119,86,17939,5034,21755,19327,1248,278,1402,1380,1399,11257,11217,10961,4251,10639,1183,1326,1326,1306,260,10671,10902,10913,4222,10375,MADISON COUNTY
15527,32142,33676,33201,33717,11131,10852,10465,5540,21846,21650,21023,9913,21847,11141,47597,44218,Chatham,699,699,654,74,729,5008,3256,70897,13908,39639,42396,44337,14557,42552,45582,47906,4886,3198,5043,4380,834,3273,2848,433,59661,18634,74470,65198,12282,2563,14029,13360,13980,28834,28609,27336,11160,25890,11787,13536,13519,12855,2564,26343,27443,27528,10911,25004,CHATHAM COUNTY
19106,49258,50976,50612,51047,19010,18776,18241,5964,31615,31485,30666,13009,31617,19018,103817,97808,Pitt,351,351,351,133,412,2253,1383,170444,23070,89272,94721,97961,23656,94512,100390,104238,2253,1383,2309,2226,794,1449,1372,577,142466,25045,180742,155511,28185,3690,32762,31370,32729,69167,68835,66767,19172,64101,26361,30701,30697,29406,3563,63932,65728,65811,18930,61539,PITT COUNTY
21188,38729,39754,39482,39782,15645,15451,15166,8518,23406,23328,22921,12567,23406,15647,63038,58937,Moore,703,703,642,103,729,4954,3303,94937,23026,55352,57829,59053,23856,58956,61737,63387,4803,3235,5054,4277,933,3342,2861,637,79328,24192,100880,86466,15192,3567,17256,16509,17242,41077,40842,40425,19356,39487,14470,16408,16403,15711,3533,38883,39231,39303,18856,38021,MOORE COUNTY
53338,135084,140944,139664,140999,49249,48497,46641,19682,91011,90483,87759,33321,91013,49258,255265,239772,Forsyth,684,684,684,335,728,4206,2512,359934,60317,216210,230878,240177,62304,229401,245128,256667,4206,2512,4256,4173,1793,2543,2485,1317,295401,62720,382295,325690,68030,11402,77349,74400,77231,175062,173828,166522,49109,157198,65912,74895,74889,72216,11503,156150,162371,162739,47497,147813,FORSYTH COUNTY
22943,54789,56503,56227,56557,17051,16971,16591,7905,39218,39022,37964,14886,39218,17056,101978,97307,Iredell,234,234,234,152,283,2076,1427,171884,26510,89235,94717,97424,27023,93294,99129,102282,2076,1427,2145,2031,1037,1491,1399,879,140623,29513,181806,156060,37077,5672,42719,40903,42642,57418,57260,56150,20314,54186,35669,40897,40893,39294,5800,53996,54987,55036,19831,52167,IREDELL COUNTY
7568,12942,13168,13133,13180,7280,7252,7112,3945,5888,5881,5830,3623,5888,7281,19771,19175,Transylvania,0,0,0,0,11,332,207,33015,8310,18101,18754,19239,8450,18621,19317,19861,332,207,386,332,263,254,207,194,29099,10809,34385,30988,3302,1139,3491,3435,3482,15984,15957,15550,7048,14987,3200,3357,3353,3310,1154,15237,15615,15628,6962,14694,TRANSYLVANIA COUNTY
2949,5440,5510,5501,5516,3082,3076,3031,1651,2382,2379,2363,1272,2382,3084,11771,10998,Martin,46,46,46,26,50,194,136,21211,4080,10360,10810,11044,4268,11048,11555,11837,194,136,245,194,137,174,136,115,17917,5372,22440,19455,2488,577,2702,2637,2702,8890,8875,8724,3554,8366,2333,2527,2527,2473,540,8201,8335,8343,3425,7891,MARTIN COUNTY
3279,6473,6582,6564,6604,4075,4059,4007,2009,2507,2505,2466,1270,2507,4075,11588,10947,Warren,0,0,0,0,22,155,116,18843,3892,10215,10671,10964,3983,10731,11259,11627,155,116,165,155,103,122,116,85,16200,5173,19731,17477,2384,518,2658,2610,2657,8804,8776,8494,3362,8192,2317,2573,2573,2523,540,8032,8258,8269,3267,7782,WARREN COUNTY
1531,2801,2856,2848,2904,1824,1816,1784,1006,982,982,967,511,982,1824,5718,5237,Jones,50,50,50,14,98,547,354,8956,1953,4936,5143,5298,2083,5359,5617,5757,547,354,574,521,153,413,354,73,7704,2257,9419,8314,1185,249,1286,1267,1286,3897,3885,3803,1681,3653,1072,1171,1171,1146,235,3643,3712,3714,1645,3510,JONES COUNTY
7403,14862,15333,15246,15381,6274,6214,6042,3114,9049,9022,8810,4279,9049,6275,25842,24789,Davie,10,10,10,10,57,461,257,40760,8413,22835,24132,24890,8615,23801,25147,25984,461,257,522,461,218,326,257,170,33901,9279,42846,37262,7238,1757,8087,7870,8078,17375,17303,16816,6640,16102,6970,7799,7797,7578,1740,16297,16735,16765,6503,15608,DAVIE COUNTY
32497,89187,91681,91312,91720,30002,29833,29183,13653,45319,45139,43873,16915,45322,30010,233824,203726,Cumberland,16360,16340,16131,1929,16388,90898,69112,310252,38043,187251,198302,203882,41175,215035,227358,234231,89944,68565,90948,87558,8234,69166,66710,5852,252655,40937,335509,277878,52473,6857,61362,58493,61286,81921,81640,78921,26084,75004,49911,58194,58179,55576,6737,74161,76435,76522,25454,70630,CUMBERLAND COUNTY
5735,11665,11890,11845,11919,8456,8416,8265,3914,3434,3429,3400,1821,3434,8459,25396,23953,Mcdowell,0,0,0,0,26,562,338,43474,8255,22605,23578,24004,8593,23918,24976,25498,562,338,622,562,296,378,338,218,36617,9517,45756,39943,3293,671,3473,3435,3473,21403,21361,20979,7626,20063,2953,3106,3106,3076,596,20164,20509,20520,7441,19314,MCDOWELL COUNTY
4646,7339,7397,7389,7437,5015,5007,4962,3260,2279,2279,2274,1331,2279,5018,14021,13158,Cherokee,103,103,103,55,140,611,439,27420,6468,12773,13052,13273,6714,13600,13900,14139,611,439,714,611,232,541,439,185,23877,8723,28612,25640,2889,909,2911,2908,2911,10514,10499,10381,5573,10100,2604,2621,2621,2621,848,9992,10098,10111,5435,9730,CHEROKEE COUNTY
2702,4663,4729,4724,4748,3063,3058,3023,1817,1666,1666,1640,885,1666,3067,8724,7883,Chowan,0,0,0,0,15,163,66,13243,3183,7456,7785,7944,3511,8256,8605,8817,163,66,244,163,57,125,66,10,11164,3521,13943,12171,1720,420,1828,1823,1828,6745,6733,6619,3034,6373,1673,1774,1774,1771,451,5948,6043,6045,2722,5717,CHOWAN COUNTY
26284,81945,88919,86536,88968,40644,38795,36142,10807,48223,47689,45751,15448,48225,40664,117757,114240,Orange,52,52,52,29,79,1370,854,142010,23871,99081,107276,114970,24183,101974,110378,119510,1370,854,1460,1370,443,935,854,350,119925,21654,148476,130842,23419,3324,26503,25469,26350,91547,90037,83539,20416,77185,23321,26416,26342,25375,3442,81047,87044,87619,20079,74906,ORANGE COUNTY
4339,8970,9144,9109,9178,6291,6260,6173,2982,2843,2839,2787,1357,2843,6291,17762,16791,Alexander,10,10,10,0,44,389,200,35620,5864,15986,16542,16894,6118,16914,17501,17886,389,200,493,389,160,298,200,73,30040,7667,37497,32781,2792,406,3052,2993,3050,14341,14323,14119,5552,13733,2608,2855,2855,2795,386,13547,13736,13741,5405,13178,ALEXANDER COUNTY
44478,155779,164270,161291,164322,82409,80348,77202,19845,81398,80480,78114,24460,81398,82415,243125,231113,Durham,463,463,463,173,509,8110,5459,301307,43513,206860,220123,232484,44715,217217,231122,246670,8087,5448,8174,8017,2082,5506,5405,1552,255829,43764,321488,275950,53506,6292,61129,58235,60828,177367,174187,164800,36341,155694,52160,59542,59468,56822,6281,157853,166186,167436,35680,149295,DURHAM COUNTY
23855,44076,45247,45015,45302,27661,27478,26827,14531,17547,17498,17210,9299,17547,27686,72679,69705,Henderson,39,39,39,25,69,1706,993,111764,27352,64914,67914,69810,27917,67571,70744,72945,1706,993,1754,1706,1031,1061,993,767,95451,30961,117417,103234,13847,4161,15092,14695,15079,56099,55894,54343,22725,52018,13276,14477,14473,14105,4124,52816,54239,54272,22461,50645,HENDERSON COUNTY
5179,10773,11003,10968,11020,6514,6481,6336,3033,4489,4487,4437,2146,4489,6516,23134,21184,Pasquotank,0,0,0,0,15,36,0,37393,6845,19749,20661,21220,7407,21560,22540,23209,36,0,52,36,24,21,0,0,31068,6841,39824,34029,5484,1037,5801,5724,5799,17356,17299,16780,6346,16040,5189,5478,5477,5406,980,15255,15707,15721,5865,14560,PASQUOTANK COUNTY
2706,4343,4398,4386,4433,2933,2923,2884,1801,1465,1463,1459,905,1465,2933,7372,7015,Pamlico,0,0,0,0,35,179,127,12261,3311,6767,6936,7061,3392,7080,7273,7436,179,127,237,179,91,172,127,74,10805,3866,12726,11540,1221,297,1319,1296,1319,5880,5874,5798,3004,5680,1157,1238,1238,1221,294,5588,5650,5651,2943,5483,PAMLICO COUNTY
1880,3840,3908,3900,3908,3098,3090,3051,1493,810,810,789,387,810,3098,7823,7280,Mitchell,,,,,,109,52,14242,2874,6972,7193,7304,3012,7473,7714,7848,109,52,124,109,77,75,52,52,12229,3810,14964,13195,1153,285,1293,1282,1293,6431,6421,6323,2650,6211,1031,1161,1161,1153,242,5988,6067,6068,2580,5889,MITCHELL COUNTY
2749,5536,5613,5601,5647,3599,3589,3545,1801,1942,1940,1919,948,1942,3599,13676,12188,Currituck,72,72,72,0,106,1037,642,26216,4336,11606,12002,12244,4945,13052,13476,13732,996,616,1076,894,142,693,537,41,21675,4551,27763,23787,2089,407,2241,2195,2240,10415,10399,10285,4396,10069,1971,2115,2115,2067,401,9319,9431,9436,3894,9098,CURRITUCK COUNTY
43836,66763,67504,67377,67555,24988,24934,24706,16637,42264,42191,41805,27088,42266,24991,94684,90367,Brunswick,252,252,252,111,298,2978,2024,137478,44409,86455,89065,90445,45576,90385,93240,94823,2978,2024,2999,2952,1710,2065,2024,1273,121795,46605,142820,129086,23456,6888,25801,25026,25788,66023,65918,65236,36978,63977,22584,24785,24783,24080,7086,62961,63560,63595,36050,61847,BRUNSWICK COUNTY
20998,44002,45035,44867,45095,21737,21603,21111,10807,23029,22995,22622,10035,23029,21740,88209,82118,Davidson,269,269,269,156,326,2149,1384,158409,26026,76586,80418,82197,26795,81874,86151,88436,2137,1384,2221,2085,1046,1431,1348,757,131285,31089,167609,144432,24842,4837,26948,26426,26942,59267,59118,57588,20912,54947,23595,25516,25515,25051,4828,53983,55219,55250,20441,51643,DAVIDSON COUNTY
9320,21394,22006,21905,22084,8671,8604,8398,3712,13240,13206,12901,5571,13241,8676,40407,38035,Franklin,95,95,95,37,167,1361,818,65799,10848,34842,36957,38113,11172,36875,39177,40615,1344,818,1436,1262,478,867,766,295,54524,11935,69685,59978,12711,2122,14536,14027,14511,24643,24535,23806,8572,22902,12163,13873,13873,13424,2135,22715,23344,23373,8418,21913,FRANKLIN COUNTY
8006,15785,16078,16047,16109,7274,7252,7135,4068,8804,8795,8650,3938,8804,7277,28253,27038,Dare,0,0,0,0,28,311,112,35367,9588,25365,26450,27136,9906,26469,27609,28371,311,112,378,311,118,193,112,0,30088,8201,37009,32745,5315,701,6050,5776,6041,21943,21901,21522,9087,20843,4993,5724,5722,5463,680,20875,21204,21219,8908,20260,DARE COUNTY
41267,93411,96269,95696,96320,36747,36506,35700,17017,59097,58765,57286,24080,59097,36762,157331,149856,New Hanover,425,425,425,170,461,3346,2110,223363,42076,137811,145334,150091,43158,144284,152370,157928,3321,2100,3410,3240,1396,2151,2047,988,191812,43147,234473,206724,45448,6681,52617,50037,52533,101901,101452,99012,35081,95596,43634,50626,50624,48196,6638,95038,97122,97314,34450,92130,NEW HANOVER COUNTY
4481,9087,9301,9276,9336,5481,5471,5414,3093,2717,2713,2651,1236,2717,5484,24207,21106,Bladen,1103,1092,1022,152,1135,6668,4702,31131,6179,19242,20639,21142,6702,21852,23572,24296,6408,4570,6743,5530,768,4731,3943,466,26077,7459,32722,28574,4302,770,4723,4638,4722,12830,12817,12526,5164,12020,4082,4489,4489,4411,722,11658,11915,11922,4991,11217,BLADEN COUNTY
2719,5839,5928,5918,5958,4465,4455,4414,2130,1463,1463,1425,589,1463,4466,12401,11563,Anson,0,0,0,0,29,169,101,23143,3823,10908,11352,11601,3966,11680,12163,12466,169,101,225,169,98,136,101,75,19608,4730,24446,21306,2722,465,3083,3041,3082,9158,9150,8953,3403,8789,2486,2818,2818,2784,418,8467,8644,8647,3330,8321,ANSON COUNTY
19187,34955,34955,34955,35825,,,,,,,,,,,0,0,"",34955,34955,34955,19187,35825,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
