COVID Confirmed Asian or PacificIslander,COVID Suspected Ethnicity Missing,COVID Suspected Age Missing,COVID Suspected Race Missing,COVID Suspected Gender Missing,COVID Confirmed Gender Missing,COVID Confirmed Ethnicity Missing,COVID Confirmed Race Missing,COVID Confirmed Age Missing,today,Date Filter,Max Date,Date,COVID Confirmed 0-17,COVID Confirmed 18-19,COVID Confirmed 20-29,COVID Confirmed 30-39,COVID Confirmed 40-49,COVID Confirmed 50-59,COVID Confirmed 60-69,COVID Confirmed 70-79,COVID Confirmed 80-,COVID Confirmed Age Unknown,COVID Confirmed Hispanic,COVID Confirmed Non-Hispanic,COVID Confirmed Ethnicity Not Disclosed,COVID Confirmed Female,COVID Confirmed Male,COVID Confirmed Gender Not Disclosed,COVID Confirmed Gender Unknown,COVID Confirmed Alaskan Native American Indian,COVID Confirmed Black African American,COVID Confirmed Race Not Disclosed,COVID Confirmed Race Additional Groups,COVID Confirmed White
0,37,0,38,54,0,0,0,0,2022-06-15,T,2022-06-11,2021-11-11,4,0,7,13,8,15,18,21,11,2,7,88,4,46,51,2,0,2,24,2,10,61
1,3,5,4,30,3,10,6,4,2022-06-15,T,2022-06-11,2021-02-03,2,0,16,11,28,49,75,65,64,0,13,271,20,152,158,1,0,3,97,8,14,185
1,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-05-17,2,2,4,9,7,12,16,13,6,2,5,64,4,39,32,2,0,5,14,2,6,45
0,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-06-04,1,0,4,4,11,16,15,9,12,0,3,59,10,40,26,6,0,2,23,8,4,35
0,66,0,69,91,0,0,0,0,2022-06-15,T,2022-06-11,2021-12-27,7,0,26,32,21,38,46,39,37,3,19,217,13,128,119,2,0,6,60,10,26,147
2,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2020-12-19,1,1,13,15,18,38,80,93,64,0,16,291,16,162,161,0,0,4,67,2,21,227
3,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-07-13,0,0,8,12,10,17,21,4,9,0,4,70,7,40,41,0,0,1,23,2,3,49
1,0,0,2,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-04-18,1,0,9,14,26,30,33,19,10,3,5,128,12,77,65,2,1,4,46,4,8,82
3,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-08-29,7,2,25,35,46,73,71,65,34,5,25,326,12,175,184,4,0,8,74,11,18,249
2,45,0,50,74,0,0,0,0,2022-06-15,T,2022-06-11,2022-02-14,6,1,9,17,14,23,49,53,58,0,7,214,9,133,96,1,0,7,45,1,10,165
2,9,6,9,23,5,7,5,3,2022-06-15,T,2022-06-11,2020-10-31,0,0,9,3,13,20,35,34,25,0,8,119,8,70,67,0,0,0,46,4,6,79
2,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-03-27,1,1,2,13,15,27,19,16,9,3,3,94,9,55,48,3,0,3,37,4,9,51
1,67,51,67,63,25,25,25,19,2022-06-15,T,2022-06-11,2020-10-07,1,1,7,7,9,17,25,23,21,0,9,88,8,55,50,0,0,1,34,0,8,61
2,17,11,10,25,1,3,1,0,2022-06-15,T,2022-06-11,2020-10-25,3,0,3,7,8,17,23,39,27,0,6,109,9,65,61,0,0,3,33,3,4,81
0,25,0,29,42,0,0,0,0,2022-06-15,T,2022-06-11,2022-02-28,0,0,5,1,9,10,27,15,25,2,3,86,5,55,37,2,0,3,16,3,4,68
0,0,0,1,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-09-28,6,2,18,19,43,54,53,43,35,0,20,242,11,133,140,0,0,3,54,4,26,186
2,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-03-19,1,0,4,10,12,35,33,16,6,4,7,102,12,62,55,4,0,1,35,6,11,66
1,0,2,1,25,0,0,0,0,2022-06-15,T,2022-06-11,2021-10-06,8,0,15,28,29,32,50,46,25,3,18,201,17,102,130,3,1,6,60,6,20,143
6,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2020-12-04,2,1,4,11,27,36,75,77,68,4,18,274,13,155,148,2,0,2,71,9,14,203
5,48,0,47,80,0,0,0,0,2022-06-15,T,2022-06-11,2022-01-19,22,4,54,46,55,111,152,150,99,9,44,623,35,365,329,8,0,8,207,18,51,413
3,0,0,2,4,1,1,1,1,2022-06-15,T,2022-06-11,2020-11-07,1,0,5,10,8,23,40,38,26,1,12,134,6,74,76,2,0,1,39,6,8,95
4,0,0,0,14,0,0,0,0,2022-06-15,T,2022-06-11,2021-04-07,3,0,13,6,15,22,29,16,19,3,4,108,14,60,63,3,0,2,35,8,7,70
2,0,0,0,0,15,15,15,15,2022-06-15,T,2022-06-11,2021-09-09,14,9,30,40,46,73,84,73,51,5,26,372,27,209,211,5,0,12,97,14,28,272
3,67,0,66,89,0,0,0,0,2022-06-15,T,2022-06-11,2022-02-07,10,2,21,13,20,47,76,84,71,1,17,310,18,177,166,1,1,9,75,6,24,228
1,0,0,1,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-05-26,2,1,5,9,8,17,24,15,8,0,10,75,4,48,41,0,0,1,22,2,7,56
4,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2020-12-24,3,2,8,17,33,67,99,97,76,5,25,347,35,188,215,4,0,3,115,15,17,253
2,51,0,51,87,0,0,0,0,2022-06-15,T,2022-06-11,2021-12-22,6,0,14,29,20,41,61,35,35,0,17,220,4,130,111,0,0,1,38,2,18,180
0,0,0,1,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-07-22,2,0,11,11,22,24,29,13,17,0,10,115,4,72,56,0,1,7,35,5,7,75
7,4,1,0,1,3,7,3,0,2022-06-15,T,2022-06-11,2021-01-07,5,2,21,16,35,48,101,118,92,21,22,395,35,247,193,16,0,8,132,22,23,264
0,37,0,38,59,0,0,0,0,2022-06-15,T,2022-06-11,2021-12-16,3,1,7,18,23,27,48,39,28,3,17,164,16,104,90,3,0,4,34,8,13,138
0,0,0,2,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-06-25,1,0,2,6,6,13,16,10,2,0,3,50,3,29,27,0,0,2,17,1,3,33
2,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-06-30,0,0,3,8,8,4,8,17,4,0,2,47,3,31,21,0,0,4,18,0,2,26
0,14,0,20,31,0,0,0,0,2022-06-15,T,2022-06-11,2022-03-19,2,1,5,5,3,3,16,15,8,1,2,52,5,32,26,1,0,0,13,4,2,40
0,13,0,30,30,0,0,0,0,2022-06-15,T,2022-06-11,2022-04-17,0,1,2,6,2,3,3,5,4,0,0,26,0,15,11,0,0,0,9,0,2,15
3,0,0,0,0,0,0,1,0,2022-06-15,T,2022-06-11,2021-07-09,0,0,6,7,8,16,10,5,4,1,5,48,4,29,27,1,0,1,17,1,4,30
1,66,0,66,91,0,0,0,0,2022-06-15,T,2022-06-11,2021-12-07,3,0,8,22,26,42,35,35,33,0,10,188,6,98,106,0,0,4,37,3,11,148
4,2,2,0,2,2,2,2,2,2022-06-15,T,2022-06-11,2021-01-16,1,1,17,18,32,60,101,109,117,0,15,418,23,235,221,0,0,13,124,2,22,291
0,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-06-16,1,1,3,11,6,9,11,8,2,0,7,44,1,23,29,0,0,2,17,1,4,28
2,0,0,0,0,0,1,1,0,2022-06-15,T,2022-06-11,2021-06-02,1,0,10,5,10,13,24,10,10,2,7,72,5,47,38,0,0,0,25,2,8,47
1,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-07-15,1,0,3,12,9,13,14,8,7,3,6,60,4,34,32,1,3,2,14,4,5,44
2,69,0,68,103,0,0,0,0,2022-06-15,T,2022-06-11,2021-12-29,7,4,25,37,49,58,61,96,52,1,23,347,20,225,164,1,0,5,96,11,23,253
10,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2020-12-17,2,4,12,11,20,49,71,91,65,0,17,280,28,164,161,0,0,8,65,7,14,221
1,2,0,1,1,3,6,3,3,2022-06-15,T,2022-06-11,2021-02-23,1,2,9,5,12,40,44,52,21,0,8,163,12,95,91,0,0,7,52,0,9,117
6,0,0,0,21,0,0,0,0,2022-06-15,T,2022-06-11,2020-11-26,3,0,10,5,20,41,54,55,43,7,10,206,22,113,119,6,0,8,67,12,8,137
7,114,0,109,141,0,0,0,0,2022-06-15,T,2022-06-11,2022-01-27,18,8,42,43,43,76,128,126,96,5,41,521,23,297,283,5,0,15,168,13,51,331
1,1,0,0,1,0,0,0,0,2022-06-15,T,2022-06-11,2021-10-30,2,0,3,8,17,12,27,22,22,0,4,106,3,60,53,0,0,1,31,1,5,74
6,74,0,72,103,0,0,0,0,2022-06-15,T,2022-06-11,2022-02-16,9,0,18,24,22,44,46,78,51,0,16,262,14,142,150,0,0,5,72,3,16,190
2,0,0,0,12,4,4,4,4,2022-06-15,T,2022-06-11,2021-04-16,3,0,9,12,14,23,30,29,13,1,6,121,7,76,57,1,0,5,49,7,7,64
4,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-08-31,5,3,27,50,62,81,85,80,48,3,32,392,20,223,218,3,0,6,102,15,22,295
4,3,2,2,20,2,5,1,1,2022-06-15,T,2022-06-11,2020-10-29,0,0,10,8,12,10,36,48,27,0,8,130,9,77,73,0,0,4,44,2,4,93
2,0,0,1,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-10-16,6,3,7,18,16,24,45,28,28,4,10,158,11,95,79,4,1,3,35,8,8,123
1,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-03-01,6,1,4,10,8,20,35,22,12,0,5,106,7,64,54,0,0,5,44,0,5,63
4,105,0,106,134,0,0,0,0,2022-06-15,T,2022-06-11,2022-01-29,17,2,45,45,46,76,126,124,109,8,35,525,38,310,280,8,0,14,154,11,35,380
1,6,4,6,23,0,3,2,0,2022-06-15,T,2022-06-11,2020-11-16,1,0,5,11,16,34,38,47,41,2,13,161,18,101,90,4,0,7,55,8,11,111
1,0,0,2,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-10-15,6,0,8,19,28,32,40,34,19,0,9,173,4,85,99,2,0,3,48,2,11,121
4,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2020-12-13,2,1,10,12,17,40,70,76,66,1,16,261,18,142,153,0,0,3,90,6,11,181
4,107,0,104,133,0,0,0,0,2022-06-15,T,2022-06-11,2022-01-10,17,5,31,42,48,73,106,105,84,4,32,460,23,259,252,4,0,15,161,12,42,281
0,18,17,19,31,0,0,0,0,2022-06-15,T,2022-06-11,2021-03-10,1,2,10,8,13,18,27,25,16,5,9,99,17,57,64,4,0,1,43,7,10,64
0,23,0,38,36,0,0,0,0,2022-06-15,T,2022-06-11,2022-04-19,0,0,4,5,0,3,2,8,9,0,3,25,3,21,10,0,0,1,4,1,3,22
0,19,0,25,41,0,0,0,0,2022-06-15,T,2022-06-11,2022-05-18,7,2,5,5,8,10,13,31,24,0,3,97,5,65,40,0,0,3,22,4,4,72
1,16,0,19,38,0,0,0,0,2022-06-15,T,2022-06-11,2022-04-01,5,0,4,3,3,3,7,9,7,0,4,36,1,26,15,0,0,0,7,3,2,28
1,10,0,14,28,0,0,0,0,2022-06-15,T,2022-06-11,2022-03-13,3,1,4,4,7,6,11,14,7,0,3,51,3,32,25,0,0,1,14,2,5,34
0,0,0,1,0,3,4,3,0,2022-06-15,T,2022-06-11,2021-02-10,6,2,11,9,25,35,72,62,47,0,14,229,22,126,140,0,0,5,75,6,14,166
0,0,0,3,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-05-10,2,0,10,13,13,17,14,10,10,0,10,75,4,54,35,0,0,3,18,2,8,58
3,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-08-07,3,1,17,24,28,55,50,43,22,7,12,228,10,115,132,3,0,2,64,8,11,162
0,43,0,46,62,0,0,0,0,2022-06-15,T,2022-06-11,2021-11-04,2,0,14,8,11,18,22,21,13,1,15,91,4,54,55,1,0,2,24,3,16,65
0,22,0,26,43,0,0,0,0,2022-06-15,T,2022-06-11,2022-05-06,4,0,4,7,5,7,11,14,23,0,1,71,3,30,45,0,0,1,20,2,1,51
5,1,1,0,1,1,1,1,1,2022-06-15,T,2022-06-11,2021-01-13,8,1,12,26,25,46,98,145,85,10,20,406,30,212,235,7,2,5,126,12,23,285
0,0,0,1,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-06-15,2,0,7,3,7,13,8,15,10,2,7,55,5,26,39,2,0,2,14,2,8,41
0,0,0,2,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-07-10,1,0,6,9,6,12,7,6,5,1,7,43,3,31,20,2,0,0,13,3,6,31
0,49,0,51,76,0,0,0,0,2022-06-15,T,2022-06-11,2021-12-10,6,1,7,13,14,40,44,49,32,3,7,193,9,103,103,3,0,8,32,8,8,153
4,49,6,52,71,24,23,20,25,2022-06-15,T,2022-06-11,2022-06-11,5,1,7,13,6,16,25,26,30,3,5,122,7,62,68,3,0,4,33,3,7,86
3,105,0,104,143,0,0,0,0,2022-06-15,T,2022-06-11,2022-01-08,18,3,45,56,59,71,85,86,98,8,38,461,30,299,220,8,2,10,161,16,45,294
5,1,1,0,1,0,0,0,0,2022-06-15,T,2022-06-11,2020-12-15,5,5,19,23,35,66,73,97,84,0,30,355,22,203,203,1,0,4,119,3,24,252
2,23,23,23,38,0,0,0,0,2022-06-15,T,2022-06-11,2021-03-12,2,1,8,9,6,19,38,23,13,3,7,109,6,60,60,2,0,0,30,2,7,81
2,0,0,0,2,0,0,0,0,2022-06-15,T,2022-06-11,2021-10-13,10,1,15,15,22,35,51,39,23,3,11,192,11,117,94,3,0,5,48,10,12,137
0,19,0,22,40,0,0,0,0,2022-06-15,T,2022-06-11,2022-05-07,3,0,1,3,3,10,11,8,9,0,1,44,3,30,18,0,0,2,8,0,4,34
0,27,0,34,48,0,0,0,0,2022-06-15,T,2022-06-11,2022-03-09,3,0,5,7,6,12,13,14,7,0,1,63,3,35,32,0,0,1,21,2,1,42
4,60,46,56,57,33,34,34,22,2022-06-15,T,2022-06-11,2020-10-01,0,2,6,4,5,12,15,19,24,2,6,66,5,38,38,2,0,2,27,4,3,37
7,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-09-14,9,0,15,53,52,66,73,71,42,5,24,341,21,191,189,5,1,9,88,13,22,247
1,0,0,2,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-04-02,2,0,7,8,23,29,31,22,11,2,3,113,19,68,65,2,0,3,43,8,5,75
0,22,0,28,45,0,0,0,0,2022-06-15,T,2022-06-11,2022-03-02,1,2,7,5,11,18,28,32,23,0,6,113,8,74,53,0,0,2,33,3,10,79
1,30,30,30,46,5,0,5,4,2022-06-15,T,2022-06-11,2020-10-15,3,1,6,6,12,27,35,30,23,0,9,113,25,63,77,2,0,3,39,6,7,86
0,23,0,28,45,0,0,0,0,2022-06-15,T,2022-06-11,2022-04-23,2,0,4,3,3,7,7,13,10,0,1,46,2,30,19,0,0,1,16,0,4,28
6,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2020-12-14,2,5,11,18,19,36,57,86,69,0,17,264,22,165,138,0,0,5,87,7,13,185
3,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-10-12,1,2,9,22,28,35,48,47,34,2,15,203,10,119,107,2,0,6,50,10,10,149
0,21,21,24,21,0,0,0,0,2022-06-15,T,2022-06-11,2021-03-13,2,0,5,14,11,33,34,23,18,2,9,122,11,74,66,2,0,1,43,7,8,83
5,99,0,95,140,0,0,0,0,2022-06-15,T,2022-06-11,2022-01-09,17,5,38,39,34,74,84,92,74,3,24,424,12,249,208,3,0,9,141,13,26,266
0,0,0,2,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-08-20,6,2,16,35,48,66,80,66,40,6,25,314,26,187,172,6,0,11,75,12,17,250
3,0,0,0,4,6,8,5,6,2022-06-15,T,2022-06-11,2021-01-22,7,0,17,18,36,60,95,99,86,0,19,367,30,225,193,0,0,9,134,6,21,246
1,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-05-05,2,1,14,13,16,18,29,22,12,0,6,115,6,73,54,0,0,1,42,3,11,69
1,33,0,33,55,0,0,0,0,2022-06-15,T,2022-06-11,2021-12-01,2,1,9,12,14,30,24,35,15,3,8,126,11,75,67,3,0,1,23,5,8,107
3,23,0,28,50,0,0,0,0,2022-06-15,T,2022-06-11,2022-06-07,3,0,10,12,9,25,26,26,26,3,5,124,11,75,61,4,0,3,31,5,11,87
4,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-08-30,3,4,23,31,48,74,63,55,38,5,26,299,19,158,181,5,0,13,70,15,18,224
1,1,1,1,17,3,4,4,4,2022-06-15,T,2022-06-11,2020-11-01,1,2,3,5,9,16,20,32,26,0,6,93,15,63,52,0,0,5,41,7,5,55
3,58,0,59,86,0,0,0,0,2022-06-15,T,2022-06-11,2022-02-13,9,0,13,17,26,35,44,57,47,1,5,230,14,125,121,3,0,6,57,4,12,167
1,0,0,0,0,1,1,1,0,2022-06-15,T,2022-06-11,2021-04-17,2,0,13,23,19,29,22,23,12,1,12,125,6,80,62,1,0,4,50,1,15,72
0,26,0,31,38,0,0,0,0,2022-06-15,T,2022-06-11,2022-04-02,3,0,5,0,2,2,9,7,7,0,2,30,3,19,16,0,0,0,8,2,3,22
4,25,0,25,42,0,0,0,0,2022-06-15,T,2022-06-11,2022-05-05,9,1,3,4,4,12,8,12,20,0,3,68,2,43,30,0,0,0,19,2,2,46
1,15,0,28,41,0,0,0,0,2022-06-15,T,2022-06-11,2022-04-16,3,0,3,7,3,5,8,6,7,0,3,36,3,25,17,0,0,0,13,1,5,22
0,13,0,20,33,0,0,0,0,2022-06-15,T,2022-06-11,2022-03-29,1,0,2,7,0,5,5,22,2,0,5,39,0,26,18,0,0,2,7,0,5,30
3,2,2,0,24,1,3,0,1,2022-06-15,T,2022-06-11,2021-02-04,4,2,7,15,14,27,60,58,51,0,9,211,16,118,120,0,0,4,74,3,13,142
0,0,0,1,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-07-28,4,2,3,16,21,33,34,25,22,1,6,142,13,85,75,1,0,8,36,6,8,103
1,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-05-20,1,2,9,10,7,19,12,12,7,0,3,68,8,46,33,0,0,0,32,3,2,41
1,46,0,46,71,0,0,0,0,2022-06-15,T,2022-06-11,2021-11-10,2,1,7,12,11,14,25,19,14,0,6,93,6,51,52,2,0,1,15,6,4,78
2,68,0,73,101,0,0,0,0,2022-06-15,T,2022-06-11,2022-02-09,18,2,26,37,26,49,84,96,55,6,22,365,12,189,203,7,0,13,78,12,22,272
3,4,2,2,0,8,9,9,8,2022-06-15,T,2022-06-11,2020-11-13,2,2,8,6,14,27,34,50,36,0,8,160,10,89,90,0,0,6,45,1,8,115
2,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-04-13,5,0,6,10,16,26,22,20,23,2,9,105,16,74,52,4,0,3,30,7,9,79
4,0,0,0,0,3,3,3,3,2022-06-15,T,2022-06-11,2021-09-11,5,2,16,31,52,86,71,60,41,7,23,325,23,185,179,7,0,12,73,10,18,254
1,0,0,0,0,0,0,2,0,2022-06-15,T,2022-06-11,2021-03-30,5,0,11,10,20,24,28,25,11,4,7,113,18,61,73,4,0,3,42,9,7,74
3,43,24,31,38,10,19,14,14,2022-06-15,T,2022-06-11,2020-10-14,2,0,6,10,7,18,30,27,17,0,6,92,14,55,61,4,1,3,30,2,4,75
1,33,34,36,34,25,25,25,19,2022-06-15,T,2022-06-11,2020-10-04,1,0,6,2,7,12,20,26,19,3,7,71,12,53,33,4,0,2,23,7,8,49
0,16,0,22,43,0,0,0,0,2022-06-15,T,2022-06-11,2022-03-03,5,0,6,3,10,16,27,25,23,1,7,102,7,66,49,1,0,2,17,6,3,88
0,0,1,0,25,0,1,0,0,2022-06-15,T,2022-06-11,2021-09-17,7,2,19,33,46,76,82,67,49,5,22,346,17,192,189,5,0,7,94,17,22,246
1,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-10-17,5,1,13,20,19,31,28,29,15,5,10,148,8,77,84,5,0,3,33,7,12,110
5,133,1,130,157,0,0,0,0,2022-06-15,T,2022-06-11,2022-01-28,19,5,45,47,41,82,118,163,109,7,28,580,28,352,277,7,0,19,161,13,39,399
1,0,0,1,0,0,1,0,0,2022-06-15,T,2022-06-11,2021-02-28,0,0,5,4,7,21,36,29,22,0,6,109,8,62,62,0,0,2,43,2,8,68
1,4,2,5,23,4,5,4,2,2022-06-15,T,2022-06-11,2020-11-17,2,0,8,12,18,41,47,63,29,2,19,185,15,115,103,2,0,4,55,4,18,138
1,49,44,50,48,28,28,28,20,2022-06-15,T,2022-06-11,2020-10-05,3,1,1,7,15,11,17,23,27,3,7,76,17,54,42,3,1,2,30,5,2,60
4,0,0,0,0,0,1,0,0,2022-06-15,T,2022-06-11,2021-03-29,0,1,3,12,15,25,25,14,11,1,5,92,9,53,52,2,0,6,35,3,6,53
2,29,1,42,63,0,0,0,0,2022-06-15,T,2022-06-11,2022-02-26,4,0,4,9,12,22,32,45,32,1,8,145,8,73,86,1,1,7,40,3,10,99
0,0,0,2,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-09-26,7,2,14,29,28,68,48,34,30,4,17,236,11,131,132,1,0,7,66,5,15,171
1,8,6,10,27,1,3,1,0,2022-06-15,T,2022-06-11,2020-10-27,1,1,6,9,12,28,27,46,15,0,9,123,10,63,81,0,0,2,41,3,11,86
1,24,0,28,40,0,0,0,0,2022-06-15,T,2022-06-11,2022-04-27,2,0,3,7,6,4,10,15,17,1,2,62,1,36,28,1,0,1,14,1,5,43
0,21,0,26,40,0,0,0,0,2022-06-15,T,2022-06-11,2022-05-30,3,2,5,10,10,16,18,20,24,3,10,92,9,56,52,3,0,0,24,5,11,71
2,27,0,27,48,0,0,0,0,2022-06-15,T,2022-06-11,2022-05-24,3,2,7,9,7,15,20,27,28,1,8,107,4,67,51,1,0,4,27,4,7,75
0,0,0,2,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-06-08,0,0,7,5,5,17,11,6,8,0,6,47,6,27,28,0,4,1,15,3,5,35
4,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2020-12-23,5,1,15,15,33,43,81,102,93,0,20,343,25,208,177,3,0,3,107,8,20,246
1,66,0,67,98,0,0,0,0,2022-06-15,T,2022-06-11,2021-12-31,5,5,22,37,40,67,58,64,51,8,14,320,23,185,164,8,0,2,94,13,17,230
1,0,0,1,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-07-17,2,0,5,8,9,22,10,17,9,0,2,78,2,41,41,0,0,2,18,2,3,56
1,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-04-26,3,0,9,11,11,19,26,13,11,3,3,91,12,59,44,0,3,1,33,6,5,60
5,2,1,0,12,6,9,6,1,2022-06-15,T,2022-06-11,2021-01-27,5,3,15,22,30,46,80,95,86,0,25,330,19,197,180,0,0,6,114,7,25,220
0,31,0,31,59,0,0,0,0,2022-06-15,T,2022-06-11,2021-11-18,3,0,6,11,11,32,21,22,17,0,10,109,4,68,55,0,0,3,24,2,10,84
3,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-08-21,10,2,20,40,65,74,83,55,36,0,22,333,30,195,190,0,0,12,81,11,19,259
1,16,0,22,38,0,0,0,0,2022-06-15,T,2022-06-11,2022-03-17,1,0,2,5,4,5,12,13,9,0,1,48,2,26,25,0,0,0,12,0,2,36
4,22,0,24,50,0,0,0,0,2022-06-15,T,2022-06-11,2022-03-31,5,2,3,5,5,4,7,3,10,0,2,39,3,31,13,0,0,0,11,1,1,27
3,67,2,74,96,0,0,0,0,2022-06-15,T,2022-06-11,2022-02-11,13,2,24,23,25,50,62,75,53,4,20,294,17,177,149,5,0,7,70,9,15,227
3,4,1,3,8,5,12,5,5,2022-06-15,T,2022-06-11,2020-11-11,2,1,3,6,14,31,38,43,27,0,18,136,4,78,87,0,0,3,39,6,15,99
1,0,0,1,0,1,1,1,1,2022-06-15,T,2022-06-11,2021-04-11,0,2,10,15,10,20,29,11,12,4,5,97,11,60,49,3,1,2,34,6,7,63
0,0,0,2,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-09-13,7,2,22,42,39,78,72,48,37,5,30,300,22,167,180,5,0,10,78,18,26,220
0,0,0,2,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-02-24,0,1,5,16,17,25,47,36,30,0,10,158,9,93,84,0,0,3,54,3,13,104
2,0,0,1,25,0,0,0,0,2022-06-15,T,2022-06-11,2020-11-29,2,1,6,14,19,36,52,51,60,2,19,200,24,97,145,1,0,2,67,8,20,144
6,103,0,98,130,0,0,0,0,2022-06-15,T,2022-06-11,2022-01-24,21,6,42,35,50,91,126,123,102,5,39,540,22,309,287,5,0,9,163,17,47,359
0,22,0,25,22,0,0,0,0,2022-06-15,T,2022-06-11,2021-10-29,0,1,7,15,12,20,22,22,8,0,2,99,6,55,52,0,0,2,26,1,3,75
1,0,0,0,18,0,0,0,0,2022-06-15,T,2022-06-11,2020-11-30,1,3,6,9,20,36,40,47,45,3,18,179,13,106,102,2,0,2,47,4,20,136
5,113,0,111,139,0,0,0,0,2022-06-15,T,2022-06-11,2022-01-15,26,2,48,59,33,93,120,120,93,7,34,547,20,311,283,7,0,8,192,14,40,342
1,14,14,16,14,0,0,0,0,2022-06-15,T,2022-06-11,2021-03-15,1,0,1,6,13,25,18,19,8,2,1,83,9,45,46,2,0,1,27,3,4,57
2,0,0,0,0,21,21,21,21,2022-06-15,T,2022-06-11,2021-10-02,5,1,14,18,35,44,46,51,21,2,13,214,10,130,105,2,0,3,50,5,15,162
4,0,0,0,0,1,5,3,1,2022-06-15,T,2022-06-11,2021-02-16,7,0,10,16,21,32,62,68,52,0,14,235,15,141,127,0,0,2,73,2,14,171
2,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-08-09,6,0,22,27,43,44,51,48,29,3,19,236,18,142,127,3,1,6,55,9,20,181
1,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-05-16,1,0,4,12,12,16,16,11,8,0,5,70,5,44,36,0,0,2,26,2,5,44
0,44,0,44,69,0,5,0,0,2022-06-15,T,2022-06-11,2021-11-06,1,0,6,6,8,19,22,25,22,2,2,92,12,64,45,2,0,2,28,5,1,75
1,26,0,26,44,0,0,0,0,2022-06-15,T,2022-06-11,2022-05-29,4,1,3,8,1,5,21,21,20,3,2,78,7,46,38,3,0,1,14,5,3,63
0,0,0,1,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-06-20,4,1,6,5,2,6,6,8,3,2,2,34,7,24,17,2,0,0,18,4,1,20
0,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-06-27,3,0,2,6,6,9,8,10,4,0,5,41,2,35,13,0,0,3,17,3,5,20
1,0,0,1,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-01-04,4,0,15,21,20,54,81,97,89,7,17,342,29,214,168,6,0,10,80,12,14,271
0,47,0,48,74,0,0,0,0,2022-06-15,T,2022-06-11,2021-12-11,4,1,3,27,23,43,35,41,24,2,7,186,10,107,94,2,0,4,41,5,10,143
0,19,0,20,35,0,0,0,0,2022-06-15,T,2022-06-11,2022-05-01,1,0,3,1,4,1,7,14,13,0,0,41,3,21,23,0,0,1,11,0,3,29
1,30,0,36,52,0,0,0,0,2022-06-15,T,2022-06-11,2022-05-28,2,1,4,10,8,11,18,33,20,3,2,104,4,69,37,3,1,0,31,3,6,69
