OBJECTID,loc_vfc_pin,OrganizationName,LocationName,VaccineAdministrationStreetAddr,VaccineAdministrationCity,VaccineAdministrationCounty,VaccineAdministrationState,VaccineAdministrationZipCode,StatusforLocation,ProviderType,Id,X,Y,UpdateDTS
42,18C020,Avendi Rx,Avendi Rx-Hickory,910 Tate Blvd SE,Hickory,Catawba,North Carolina,28602,Approved,Pharmacy : independent,,-81.3201075039265,35.7296861695158,202105041931
161,180001,County of Catawba,Catawba County Public Health,3070 11th Ave Dr SE,Hickory,Catawba,North Carolina,28602,Approved,Public health provider : public health clinic,,-81.2702999470849,35.7129650828959,202105041931
204,180003,Catawba Valley Medical Center,Catawba Valley Medical Center,810 Fairgrove Church Road,Hickory,Catawba,North Carolina,28602,Approved,Hospital,,-81.2673809643479,35.713830089247,202105041931
434,18C001,"DLP Frye Regional Medical Center, LLC",Frye Regional Medical Center,420 N Center Street,Hickory,Catawba,North Carolina,28601,Approved,Hospital,,-81.3371246234838,35.7376429397673,202105041931
451,180013,"Newton Family Physicians, PA","Newton Family Physicians, PA",767 W 1st Street,Newton,Catawba,North Carolina,28658,Approved,Medical practice : family medicine,,-81.2328828185194,35.6662017705785,202105041931
458,180034,"Unifour Pediatrics, PA",Unifour Pediatrics,3411 Graystone Place SE,Conover,Catawba,North Carolina,28613,Approved,Medical practice : pediatrics,,-81.2643763534964,35.7147479940133,202105041931
572,NS1583,Publix Super Market,Publix Pharmacy #1583,7883 Village Center N,Sherrills Ford,Catawba,North Carolina,28673,Approved,Pharmacy : chain,,-80.98819400322,35.5852684560596,202105041931
575,NS1550,Publix Super Market,Publix Pharmacy #1550,36 29th Avenue NE,Hickory,Catawba,North Carolina,28601,Approved,Pharmacy : chain,,-81.3285507653655,35.7699241745271,202105041931
692,18C008,Bio Medical of Applications of North Carolina Inc.,Bio Medical Applications of North Carolina Inc.    Fresenius Kidney Care Newton,3802 Startown Rd.,Newton,Catawba,North Carolina,28658,Approved,Other,,-81.2680299336887,35.6473741338238,202105041931
696,18C005,Bio Medical of Applications of North Carolina Inc.,Bio Medical Applications of North Carolina Inc.      Fresenius Medical Care of Catawba Valley,301 10th St. NW Ste A 101,Conover,Catawba,North Carolina,28613,Approved,Other,,-81.2221926952675,35.7191651835007,202105041931
856,18C007,Bio Medical of Applications of North Carolina Inc.,Bio-Medical Applications of North Carolina Inc.,1899 Tate Blvd. SE Box 103,Hickory,Catawba,North Carolina,28602,Approved,Other,,-81.305919393617,35.7292770853634,202105041931
900,18C010,Community Care Health Network DBA Matrix Medical Network,Tyson Claremont Plant,3437 E MAIN ST,CLAREMONT,Catawba,North Carolina,28610,Approved,Commercial vaccination service provider,,-81.1379219416408,35.7145763591809,202105041931
937,18C017,"HEALTHSTAT, INC",McCreary Modern Healthstat Clinic,2564 Hwy 321S,Newton,Catawba,North Carolina,28658,Approved,Medical practice : family medicine,,-81.2179885941203,35.6193700321203,202105041931
1014,180010,"Catawba Valley Medical Group, Inc.",Catawba Valley Family Medicine - Maiden,137 Island Ford Road,Maiden,Catawba,North Carolina,28650,Approved,Public health provider : Federally Qualified Health Center,,-81.1939794306172,35.5669028844279,202105041931
1015,180011,"Catawba Valley Medical Group, Inc.",Catawba Valley Family Medicine - Medical Arts,24 2nd Ave NE,Hickory,Catawba,North Carolina,28601,Approved,Medical practice : family medicine,,-81.3370630867968,35.7340448934034,202105041931
1016,18C002,"Catawba Valley Medical Group, Inc.",Catawba Valley Urgent Care,2972 N Center St,Hickory,Catawba,North Carolina,28601,Approved,Urgent care,,-81.3278315322123,35.7707695627612,202105041931
1017,180002,"Catawba Valley Medical Group, Inc.",Catawba Valley Family Medicine - Viewmont,1205 N Center St,Hickory,Catawba,North Carolina,28601,Approved,Medical practice : family medicine,,-81.3384768224754,35.7485828891866,202105041931
1018,180005,"Catawba Valley Medical Group, Inc.",Catawba Valley Family Medicine - Claremont,3114 West Main Street,Claremont,Catawba,North Carolina,28610,Approved,Public health provider : Federally Qualified Health Center,,-81.1521033569729,35.7142520057149,202105041931
1020,180025,"Catawba Valley Medical Group, Inc.",Catawba Valley Family Medicine - South Hickory,1985 Startown Rd,Hickory,Catawba,North Carolina,28602,Approved,Medical practice : family medicine,,-81.2911581544432,35.6955085962617,202105041931
1022,180031,"Catawba Valley Medical Group, Inc.",Catawba Valley Family Medicine - Graystone,3511 Graystone Place SE,Conover,Catawba,North Carolina,28613,Approved,Medical practice : family medicine,,-81.2617227642175,35.7138052714486,202105041931
1023,18C004,"Catawba Valley Medical Group, Inc.",Catawba Valley Pulmonology,3521 Graystone Pl SE,Conover,Catawba,North Carolina,28613,Approved,Medical practice : other specialty,,-81.2606269190537,35.7137639980288,202105041931
1024,180040,"Catawba Valley Medical Group, Inc.",Catawba Valley Family Medicine - Mountain View,2712 S NC 127 Hwy,Hickory,Catawba,North Carolina,28602,Approved,Medical practice : family medicine,,-81.3590718687212,35.6896606751618,202105041931
1025,180041,"Catawba Valley Medical Group, Inc.",Catawba Valley Family Medicine - West Mountain View,1940 Briarwood Drive,Hickory,Catawba,North Carolina,28602,Approved,Medical practice : family medicine,,-81.3698817924197,35.6844521139999,202105041931
1026,180019,"Catawba Valley Medical Group, Inc.",Catawba Valley Family Medicine - Southeast Catawba,6127 S Hwy 16,Denver,Catawba,North Carolina,28037,Approved,Medical practice : family medicine,,-81.0644841835801,35.5564024854721,202105041931
1027,180022,"Catawba Valley Medical Group, Inc.",Catawba Valley Family Medicine - North Hickory,212 29th Ave NE,Hickory,Catawba,North Carolina,28601,Approved,Medical practice : family medicine,,-81.3256258862129,35.7705431264866,202105041931
1028,180018,"Catawba Valley Medical Group, Inc.",Catawba Valley Family Medicine - Northeast Hickory,2365 Springs Rd NE,Hickory,Catawba,North Carolina,28601,Approved,Public health provider : Federally Qualified Health Center,,-81.2896531681309,35.7502201069413,202105041931
1029,180039,"Catawba Valley Medical Group, Inc.",Catawba Valley Family Care,105 B South Main Ave,Newton,Catawba,North Carolina,28658,Approved,Medical practice : other specialty,,-81.2226496856927,35.6615567837048,202105041931
1188,18C012,Viewmont Internal Medicine PLLC,Viewmont Internal Medicine,1375 4th Street Drive NW,Hickory,Catawba,North Carolina,28601,Approved,Medical practice : internal medicine,,-81.3396302857922,35.7509589456594,202105041931
1262,18C009,"Genoa Healthcare, LLC","Genoa Healthcare, 20235",327 1st Ave NW,Hickory,Catawba,North Carolina,28601,Approved,Pharmacy : chain,,-81.3432541533371,35.7328932168386,202105041931
1268,18C015,"Center Pharmacy of Maiden, Inc",TAS Drug Maiden,201 D Island Ford Rd,Maiden,Catawba,North Carolina,28650,Approved,Pharmacy : independent,,-81.1941231794184,35.56655423449,202105041931
1360,18C011,A Woman's View,A Woman's View,915 TATE BLVD SE,HICKORY,Catawba,North Carolina,28602,Approved,Medical practice : family medicine,,-81.3192407957625,35.7310017585238,202105041931
1405,18C013,PACE@Home,PACE@Home,1915 Fairgrove Church Rd SE,Newton,Catawba,North Carolina,28658,Approved,Other,,-81.261619493741,35.6960616889681,202105041931
1456,18C014,Medcor,Target Distribution Center - T3811 - Medcor Clinic,1800 Stover Court,Newton,Catawba,North Carolina,28658,Approved,Health center : occupational,,-81.3106540870691,35.6207909213186,202105041931
1466,18C006,Kintegra Health,Kintegra Family Medicine – Hickory,133 1st Ave SE,Hickory,Catawba,North Carolina,28602,Approved,Public health provider : Federally Qualified Health Center,,-81.3361959992728,35.7310505716357,202105041931
1619,18C019,"Five Points Pharma, LLC dba Medical Village Pharmacy",Medical Village Pharmacy,815 FAIRGROVE CHURCH ROAD SE,CONOVER,Catawba,North Carolina,28613,Approved,Pharmacy : independent,,-81.2644459059917,35.7143158980353,202105041931
1648,18C021,Newton Drug Co LLC dba HealthSmart Pharmacy Newton,HealthSmart Pharmacy Newton,401 W A ST,NEWTON,Catawba,North Carolina,28658,Approved,Pharmacy : independent,,-81.2276610905592,35.6638013201644,202105041931
1728,18C024,Catawba County Detention Facility,Catawba County Detention Facility,100 Government Dr,Newton,Catawba,North Carolina,28658,Approved,Other,,-81.6782939448243,35.719269231272,202105041931
1769,18C016,"Healthstat, Inc",HSM Solutions Dependent/Converting Clinic,210 Section House Rd,Conover,Catawba,North Carolina,28613,Rejected,Health center : occupational,,-81.2441281736645,35.7217625845636,202105041931
1776,18C022,"Blue Ridge HealthCare Medical Group, Inc.",Women's Health Group- Hickory,2134 14th Ave Cir NW,Hickory,Catawba,North Carolina,28601,Approved,Medical practice : OB/GYN,,-81.3753223937811,35.7533367827532,202105041931
1784,18C023,ProactiveMD,Lee Health Center,1220 Commerce St. SW,Conover,Catawba,North Carolina,28613,Approved,Medical practice : family medicine,,-81.2568455077783,35.6984053897934,202105041931
1793,"",Greater Hickory Cooperative Christian Ministries,Greater Hickory Cooperative Christian Ministries,31 1st Ave SE,Hickory,Catawba,North Carolina,28602,New (Vaccine Coordinator In Progress),Other,,-81.336768682655,35.7312443657706,202105041931
1807,"",Hickory Family Phamracy LLC.,Maurice Batshon,1501 Tate Blvd SE suite 102,Hickory,Catawba,North Carolina,28602,New (Vaccine Coordinator In Progress),Pharmacy : independent,,-81.3127176269719,35.7303191461006,202105041931
1849,18C026,Carolina Caring,Carolina Caring Robinson Road Hospice House,3975 Robinson Road,Newton,Catawba,North Carolina,28658,Approved,Other,,-81.2897550934523,35.6438688678678,202105041931
1889,18C025,long view drug co,long view drug,2637 1ST AVE SW,HICKORY,Catawba,North Carolina,28602,Submitted (Ready for Internal Review),Pharmacy : independent,,-81.3835942901214,35.7290483258276,202105041931
1939,180004,Catawba Pediatric Associates PA,"Catawba Pediatric Associates, PA",240 18th Street Circle SE,Hickory,Catawba,North Carolina,28602,Approved,Medical practice : pediatrics,,-81.3072717707114,35.72995713846,202105041931
1943,"",Adult Internal Medicine,Adult Internal Medicine,21 18th Ave NW,Hickory,Catawba,North Carolina,28601,New (Vaccine Coordinator In Progress),Medical practice : internal medicine,,-81.3368771332282,35.7556626614088,202105041931
2076,180007,FryeCare Lincolnton Medical Group,FryeCare Hickory Family Practice,52 12th Ave NE,Hickory,Catawba,North Carolina,28601,Approved,Medical practice : family medicine,,-81.3363583404128,35.7486834840185,202105041931
2115,"",Swisher Internal Medicine,Swisher Internal Medicine,30 13th Ave NW,Hickory,Catawba,North Carolina,28601,Rejected,Medical practice : internal medicine,,-81.339123197035,35.7488547967769,202105041931
2132,"","Lutheran Services for the Aging, Inc.",Trinity Ridge,2140 Medical Park Dr,Hickory,Catawba,North Carolina,28602,New (Vaccine Coordinator In Progress),"Long-term care : nursing home, skilled nursing facility, federally certified",,-81.3580050019527,35.6887671816155,202105041931
2135,180043,FryeCare Urgent Care,FryeCare Family Physicians,"915 Tate Blvd SE, Ste 186",Hickory,Catawba,North Carolina,28602,Approved,Medical practice : family medicine,,-81.3192407957625,35.7310017585238,202105041931
2147,"",Vitality Anti-Aging Center,Vitality Anti-Aging Center,74 8th St SE,Hickory,Catawba,North Carolina,28602,New (Vaccine Coordinator In Progress),Medical practice : other specialty,,-81.3268852338493,35.7329542917113,202105041931
2152,"","HEALTHSTAT, INC",Hickory Springs Manufacturing Solutions-Spring Metal Plant,180 McDonald Parkway SE,Hickory,Catawba,North Carolina,28602,Deactivated,Health center : occupational,,-81.2928522842752,35.7300725055557,202105041931
2809,,CVS Health,3563,1504 2ND ST NE,HICKORY,Catawba,North Carolina,28601,,Pharmacy : chain,a2At0000002Ylg9EAC,-81.3365280855454,35.7527694124312,202105041931
2810,,Walgreens,Walgreens,2915 N CENTER ST,HICKORY,Catawba,North Carolina,28601,,Pharmacy : chain,a2At0000002WDCDEA4,-81.3300282219849,35.770593482155,202105041931
2811,,WM1,WAL-MART NEIGHBORHOOD MARKET PHARMACY,2415 SPRINGS ROAD NE,HICKORY,Catawba,North Carolina,28601,,Pharmacy : chain,a2At0000001e37gEAA,-81.2883137896323,35.7510022874998,202105041931
2812,,WM1,WAL-MART NEIGHBORHOOD MARKET PHARMACY,483 HWY 70 SW,HICKORY,Catawba,North Carolina,28602,,Pharmacy : chain,a2At0000001e39jEAA,-81.3475225470063,35.7197869866442,202105041931
2817,,Walgreens,Walgreens,456 CONOVER BLVD W,CONOVER,Catawba,North Carolina,28613,,Pharmacy : chain,a2At0000002WAG4EAO,-81.2253970665693,35.6976739733305,202105041931
2819,,Walgreens,Walgreens,2427 SPRINGS RD NE,HICKORY,Catawba,North Carolina,28601,,Pharmacy : chain,a2At0000002WIz2EAG,-81.2861059518776,35.7525100358399,202105041931
2830,,Walgreens,Walgreens,2700 S NC 127 HWY,HICKORY,Catawba,North Carolina,28602,,Pharmacy : chain,a2At0000002W9pREAS,-81.3575440318387,35.6904019574797,202105041931
2832,,WM1,WAL-MART PHARMACY,4780 HICKORY BLVD,GRANITE FALLS,Catawba,North Carolina,28630,,Pharmacy : chain,a2At0000001e3TOEAY,-81.3962442242664,35.7788143412914,202105041931
2838,,WM1,WAL-MART NEIGHBORHOOD MARKET PHARMACY,1818 NORTHWEST BLVD.,NEWTON,Catawba,North Carolina,28658,,Pharmacy : chain,a2At0000001e34rEAA,-81.2307385386885,35.6806730042606,202105041931
3004,,CVS Health,5591,2010 29th Avenue Drive Ne,Hickory,Catawba,North Carolina,28601,,Pharmacy : chain,a2At0000002Vg5MEAS,-81.2959857760749,35.7615719168378,202105041931
15,19C012,"StarMed Urgent + Family Care, P.A.",StarMed Healthcare - Pittsboro,219 West St,Pittsboro,Chatham,North Carolina,27312,Approved,Medical practice : family medicine,,-79.1812513467842,35.7201404501329,202105041931
50,19C013,"StarMed Urgent + Family Care, P.A.",StarMed Healthcare - Siler City,1000 S 10th Ave,Siler City,Chatham,North Carolina,27344,Approved,Medical practice : family medicine,,-79.4487872536121,35.724849670026,202105041931
165,19C002,"Piedmont Health Services, Inc",Piedmont Health SeniorCare Pittsboro,163 Chatham Business Drive,Pittsboro,Chatham,North Carolina,27312,Approved,Public health provider : Federally Qualified Health Center,,-79.1622394584583,35.7174492874783,202105041931
252,190001,Chatham County Public Health Department,Chatham County Public Health Department,1000 South 10th Avenue,Siler City,Chatham,North Carolina,27344,Approved,Public health provider : public health clinic,,-79.4487872536121,35.724849670026,202105041931
253,19C001,UNC Shared Services Center,Chatham Hospital,475 Progress Blvd.,Siler City,Chatham,North Carolina,27344,Approved,Hospital,,-79.420809000191,35.7229965503209,202105041931
304,190009,"Piedmont Health Services, Inc",Moncure Community Health Center,7728 Moncure-Pittsboro Rd,Other,Chatham,North Carolina,27559,Approved,Public health provider : Federally Qualified Health Center,,-79.0896849483361,35.627456951184,202105041931
352,190014,"Piedmont Health Services, Inc",Siler City Community Health Center,224 S 10th Ave,Siler City,Chatham,North Carolina,27344,Approved,Public health provider : Federally Qualified Health Center,,-79.448439714051,35.7244809758866,202105041931
476,19C011,"Primus Internal Medicine, PLLC",11312 US 15-501 N,11312 US 15-501 N,Chapel Hill,Chatham,North Carolina,27517,Approved,Medical practice : internal medicine,,-79.0895783979142,35.8455701866003,202105041931
960,19C008,Healthworks Group of North Carolina,Premise Health - Siler City Health and Wellness Center,1040 East 3rd St,Siler City,Chatham,North Carolina,27344,Approved,Medical practice : family medicine,,-79.4504431184951,35.7301353202837,202105041931
1007,19C009,Carolina Dialysis Lee County,Carolina Dialysis Siler City,192 Campus Drive,Siler City,Chatham,North Carolina,27344,Approved,Medical practice : other specialty,,-79.4222924595995,35.7252202540859,202105041931
1011,19C007,Carolina Dialysis Lee County,Carolina Dialysis Pittsboro,480 Hillsboro Street,Pittsboro,Chatham,North Carolina,27312,Approved,Other,,-79.1755319495729,35.7268108377464,202105041931
1068,19C003,"Siler City Pharmacy, LLC",Siler City Pharmacy,202 A East Raleigh Street,Siler City,Chatham,North Carolina,27344,Approved,Pharmacy : independent,,-79.4619655654652,35.7233585255126,202105041931
1086,19C005,501 Pharmacy LLC,501 PHarmacy,98 chapelton court,Chapel hill,Chatham,North Carolina,27516,Approved,Pharmacy : independent,,-79.0870159759579,35.8221131814062,202105041931
1315,19C004,"UNC Physicians Network, LLC",UNC Primary Care at Chatham,163 Medical Park Dr.,Siler City,Chatham,North Carolina,27344,Approved,Medical practice : family medicine,,-79.4190209464603,35.7229657475555,202105041931
1570,19C010,Pittsboro Pharmacy,PITTSBORO PHARMACY,630 east street,pittsboro,Chatham,North Carolina,27312,Approved,Pharmacy : independent,,-79.1667062569164,35.7187579893682,202105041931
1596,32C031,Governors Pharmacy,Governors Pharmacy,50241 Governors dr,Chapel hill,Chatham,North Carolina,27517,Approved,Pharmacy : independent,,-79.0238738636882,35.8542651634386,202105041931
1841,19C016,Genesis Administrative Services LLC,Siler City Center,900 W. Dolphin St.,Siler City,Chatham,North Carolina,27344,Submitted (Ready for Internal Review),"Long-term care : nursing home, skilled nursing facility, federally certified",,-79.4747546299687,35.7175339965524,202105041931
2172,19C006,Governors Pharmacy,Governors Pharmacy,50241 Governors Dr,Chapel Hill,Chatham,North Carolina,27517,Deactivated,Pharmacy : independent,,-79.0238738636882,35.8542651634386,202105041931
2209,19C015,"Food Lion, LLC",Food Lion Pharmacy #1689,109 Food Lion Plaza,Siler City,Chatham,North Carolina,27344,Approved,Pharmacy : chain,,-79.4410505940405,35.7348653512562,202105041931
2221,19C014,CDT Healthcare dba Central Piedmont Urgent Care,Central Piedmont Urgent Care Siler City,101 Walmart Supercenter,Siler City,Chatham,North Carolina,27344,Approved,Urgent care,,-79.4264116119234,35.7328168477307,202105041931
2336,,Walgreens,Walgreens,321 EAST ST,PITTSBORO,Chatham,North Carolina,27312,,Pharmacy : chain,a2At0000002WB5EEAW,-79.1719038019121,35.7206238937157,202105041931
2341,,Walgreens,Walgreens,1523 E 11TH ST,SILER CITY,Chatham,North Carolina,27344,,Pharmacy : chain,a2At0000002WNePEAW,-79.4416156794264,35.7337819147905,202105041931
2476,,CVS Health,2471,6840 GLENWOOD AVE,RALEIGH,Chatham,North Carolina,27612,,Pharmacy : chain,a2At0000002Vs4NEAS,-78.7111264076879,35.8629408621402,202105041931
2512,,Walgreens,Walgreens,6405 FAYETTEVILLE RD,DURHAM,Chatham,North Carolina,27713,,Pharmacy : chain,a2At0000002WADUEA4,-78.934034374815,35.9116632005249,202105041931
2917,,CVS Health,2306,3000 Galloway Ridge,Pittsboro,Chatham,North Carolina,27312,,Pharmacy : chain,a2At0000002VfxyEAC,-79.0950902246344,35.7936160633323,202105041931
2920,,CVS Health,5042,72 CHATHAM BUSINESS PARK DRIVE,PITTSBORO,Chatham,North Carolina,27312,,Pharmacy : chain,a2At0000002VeZOEA0,-79.1627739262357,35.7182978449161,202105041931
2921,,WM1,WAL-MART PHARMACY,14215 U.S. HWY 64 WEST,SILER CITY,Chatham,North Carolina,27344,,Pharmacy : chain,a2At0000001e3NKEAY,-79.427189074272,35.7347191927673,202105041931
2935,,CVS Health,2306,260 Village Lake Road,Siler City,Chatham,North Carolina,27344,,Pharmacy : chain,a2At0000002ViHgEAK,-79.4697848018016,35.7428055326508,202105041931
111,20C002,"Murphy Medical Center, Inc","Murphy Medical Center, Inc.",3990 East US 64 ALT,Murphy,Cherokee,North Carolina,28906,Approved,Hospital,,-83.9673833441073,35.0723666847941,202105041931
254,200001,Cherokee County Health Department,Cherokee County Health Department,228 Hilton Street,Murphy,Cherokee,North Carolina,28906,Approved,Public health provider : public health clinic,,-84.0322218292249,35.0912349400524,202105041931
366,20C001,Appalachian Mountain Community Health Centers,Peachtree Community Health Center,4048 E US 64 Alternate,Murphy,Cherokee,North Carolina,28906,Approved,Public health provider : Federally Qualified Health Center,,-83.9662225177053,35.0731658927546,202105041931
1690,20C003,"Ingles Markets, Inc",Ingles Pharmacy #25,2060 US Hwy 19,Murphy,Cherokee,North Carolina,28906,Approved,Pharmacy : chain,,-84.0062597792525,35.1057348979498,202105041931
1813,20C004,King's Pharmacy,King's Pharmacy,30 Peachtree St,Murphy,Cherokee,North Carolina,28906,Approved,Pharmacy : independent,,-84.0341590669786,35.0872173924704,202105041931
2892,,Walgreens,Walgreens,286 MAIN ST,ANDREWS,Cherokee,North Carolina,28901,,Pharmacy : chain,a2At0000002WoOWEA0,-83.83643583265,35.2011352016732,202105041931
299,210002,Vidant Health,Vidant Chowan Hospital,211 Virginia Road,Edenton,Chowan,North Carolina,27932,Approved,Hospital,,-76.6105763332012,36.0697774299237,202105041931
372,210001,Albemarle Regional Health Services,Chowan County Health Department,202 West Hicks St,Edenton,Chowan,North Carolina,27932,Approved,Public health provider : public health clinic,,-76.6020792645157,36.065669350665,202105041931
879,210004,Vidant Medical Group,Vidant Family Medicine - Edenton,201 Virginia Road,Edenton,Chowan,North Carolina,27932,Approved,Hospital,,-76.6089769382057,36.0702330570382,202105041931
1097,21C001,"BLOUNT'S MUTUAL DRUGS, INC.","BLOUNT'S MUTUAL DRUGS, INC.",323 S BROAD ST,EDENTON,Chowan,North Carolina,27932,Approved,Pharmacy : independent,,-76.6087561517389,36.0581357883001,202105041931
1123,21C003,Sentara Family Medicine Physicians,Sentara Family and Internal Medicine Physicians,"701 Luke Street, Suite D",Edenton,Chowan,North Carolina,27932,Approved,Medical practice : family medicine,,-76.6136141957156,36.0709306674828,202105041931
1528,22C001,"Ingles Markets, Inc",Ingles Pharmacy #116,230 Hwy 64 East,Hayesville,Clay,North Carolina,28904,Approved,Pharmacy : chain,,-83.8166076246673,35.0341986656654,202105041931
1918,"","Hyer Health, LLC",King's Pharmacy Hayesville,16 Wayne Brooks Ln,Hayesville,Clay,North Carolina,28904,Assigned,Pharmacy : independent,,-83.8249657046007,35.0295670134678,202105041931
2893,,Walgreens,Walgreens,1630 ANDREWS RD,MURPHY,Clay,North Carolina,28906,,Pharmacy : chain,a2At0000002W8GLEA0,-84.0080802100656,35.1106500574583,202105041931
2894,,Walgreens,Walgreens,44 HWY 64 W,HAYESVILLE,Clay,North Carolina,28904,,Pharmacy : chain,a2At0000002WoayEAC,-83.8212753032476,35.0352832905362,202105041931
2895,,WM1,WAL-MART PHARMACY,2330 HIGHWAY 19,MURPHY,Clay,North Carolina,28906,,Pharmacy : chain,a2At0000001e2d0EAA,-84.0054512495019,35.1087773060739,202105041931
20,23C018,"StarMed Urgent + Family Care, P.A.",StarMed Healthcare - Shelby,855 W Sumter St,Shelby,Cleveland,North Carolina,28150,Approved,Medical practice : family medicine,,-81.557710018794,35.2939535558602,202105041931
49,230012,The Charlotte-Mecklenburg Hospital Authority,Shelby Family Practice,1124 N Washington Street,Shelby,Cleveland,North Carolina,28150,Approved,Medical practice : family medicine,,-81.5377961792799,35.3052257881544,202105041931
96,230020,Gaston Memorial Hospital INC,CaroMont Family Medicine - Shelby,520 N. Dekalb Street,Shelby,Cleveland,North Carolina,28150,Approved,Medical practice : family medicine,,-81.5379916123026,35.2852157759172,202105041931
373,230001,Cleveland County Health Department,Cleveland County Health Department,200 S Post Road,Shelby,Cleveland,North Carolina,28152,Approved,Public health provider : public health clinic,,-81.49317178122,35.2805067540473,202105041931
420,23C002,The Charlotte-Mecklenburg Hospital Authority,The Charlotte-Mecklenburg Hospital Authority d/b/a Atrium Health Cleveland,201 East Grover Street,Shelby,Cleveland,North Carolina,28150,Approved,Hospital,,-81.5378471239698,35.3014417546567,202105041931
422,23C001,The Charlotte-Mecklenburg Hospital Authority,"The Charlotte-Mecklenburg Hospital Authority d/b/a Atrium Health Kings Mountain, a facility of Atriu",703 W Kings St,Kings Mountain,Cleveland,North Carolina,28086,Approved,Hospital,,-81.3557162097962,35.2405662376328,202105041931
437,23C005,Cleveland County Emergency Medical Services,CCEMS Station 1,827 Frederick Street,Shelby,Cleveland,North Carolina,28150,Approved,Other,,-81.5300580732657,35.3020634274284,202105041931
438,23C004,Cleveland County Emergency Medical Services,Administration (CCEMS),1333 Fallston Road,Shelby,Cleveland,North Carolina,28150,Approved,Other,,-81.516683946222,35.3212897972461,202105041931
453,23C007,"Upper Cleveland Rescue Squad, Inc.",Main Station,1032 W Stagecoach Trl,Lawndale,Cleveland,North Carolina,28090,Approved,Other,,-81.5749380641667,35.4157875116081,202105041931
457,23C008,CLECO Primary Care Network,CLECO Medical Center of Shelby,808 Schenck St,Shelby,Cleveland,North Carolina,28150,Approved,Public health provider : Rural Health Clinic,,-81.5361130756845,35.3004317657812,202105041931
622,23C014,"Raleigh Durham Medical Group, PA",Carley Family Care,827 E. King Street,Kings Mountain,Cleveland,North Carolina,28086,Approved,Medical practice : family medicine,,-81.3275470385111,35.2408953355115,202105041931
641,23C010,CLECO Primary Care Network,Upper Cleveland Medical Center,5009 Fallston Rd,Lawndale,Cleveland,North Carolina,28090,Approved,Medical practice : family medicine,,-81.5020765767027,35.4333426822197,202105041931
833,23C006,"Bio Medical Applications of North Carolina, INC . dba  BMA Kings Mountain",BMA Kings Mountain,604 Canterbury Road,Kings Mountain,Cleveland,North Carolina,28086,Approved,Other,,-81.3246560504725,35.2409048944496,202105041931
1111,23C009,Kintegra Health,Kintegra Family Medicine – Boiling Springs,305 W College Ave,Shelby,Cleveland,North Carolina,28152,Approved,Public health provider : Federally Qualified Health Center,,-81.675886184539,35.2508586018893,202105041931
1116,23C011,Kintegra Health,Kintegra Family Medicine – Kings Mountain,502 W KING ST,KINGS MOUNTAIN,Cleveland,North Carolina,28086,Approved,Public health provider : Federally Qualified Health Center,,-81.3513655520102,35.2413459365925,202105041931
1489,23C017,White Oak Manor Kings Mountain,White Oak Manor Kings Mountain,716 Sipes Street,Kings Mountain,Cleveland,North Carolina,28086,Approved,"Long-term care : nursing home, skilled nursing facility, federally certified",,-81.3564813261095,35.2433880928852,202105041931
1500,NS2012,"Ingles Markets, Inc",Ingles Pharmacy #12,1818 West Dixon Blvd,Shelby,Cleveland,North Carolina,28150,Approved,Pharmacy : chain,,-81.5726273163022,35.2960128247976,202105041931
1522,NS2147,"Ingles Markets, Inc",Ingles Pharmacy #147,2111 Shelby Rd,Kings Mountain,Cleveland,North Carolina,28086,Approved,Pharmacy : chain,,-81.4051471552535,35.2434164795716,202105041931
1554,23C016,Shelby Drugstore Inc,Shelby Drugstore,701-1 E Grover Street,SHELBY,Cleveland,North Carolina,28150,Approved,Pharmacy : independent,,-81.527165830904,35.3046302212102,202105041931
1557,23C012,"White Oak Pharmacy, Inc",White Oak Pharmacy,716 Sipes Street,Kings Mountain,Cleveland,North Carolina,28086,Approved,Pharmacy : independent,,-81.3564813261095,35.2433880928852,202105041931
1650,230009,CLECO Primary Care Network,Kings Mountain Medical Center,812 W King Street,Kings Mountain,Cleveland,North Carolina,28086,Approved,Medical practice : family medicine,,-81.3596113438859,35.240372084811,202105041931
1704,23C015,Mountain Street Pharmacy,Mountain Street Pharmacy,709 W MOUNTAIN STREET,KINGS MOUNTAIN,Cleveland,North Carolina,28086,Approved,Pharmacy : independent,,-81.3562591575464,35.2390274113146,202105041931
1834,"","Electric Glass Fiber America, LLC",Nippon Electric Glass - Shelby,940 Washburn Switch Rd,Shelby,Cleveland,North Carolina,28150,New (Vaccine Coordinator In Progress),"",,-81.6243322858457,35.3308584458049,202105041931
1887,23C021,TruCore Laboratories,TruCore Laboratories,608 W King St,Kings Mountian,Cleveland,North Carolina,28086,Resubmitted,Other,,-81.354438414385,35.2415009727097,202105041931
1911,"",The Charlotte-Mecklenburg Hospital Authority,Atrium Health Urgent Care Shelby,1010 East Dixon Boulevard,Shelby,Cleveland,North Carolina,28152,New (Vaccine Coordinator In Progress),Urgent care,,-81.5266329843039,35.2732229017393,202105041931
1952,23C003,Shelby Medical Associates,Shelby Medical Associates,711 N. DeKalb St.,Shelby,Cleveland,North Carolina,28150,Rejected,Medical practice : internal medicine,,-81.5352974757278,35.2998119434917,202105041931
